objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_pub_001,Long-Term Simulated Atmospheric Nitrogen Deposition Alters Leaf and Fine Root Decomposition,,2017,"Xia, M., A. F. Talhelm, and K. S. Pregitzer",,,,,"Ecosystems, 21 (2018). https://doi.org/10.1007/s10021-017-0130-3",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia 2017a.pdf,xia_2017a.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_2017a.pdf,,
ng_pub_002,Chronic nitrogen deposition influences the chemical dynamics of leaf litter and fine roots during decomposition,,2017,"Xia, M., A. F. Talhelm, and K. S. Pregitzer",,,,,Soil Biology and Biochemistry 112: 24-34,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia 2017b.pdf,xia_2017b.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_2017b.pdf,,
ng_pub_003,Anthropogenic N deposition increases soil organic matter accumulation without altering its biochemical composition,,2017,"Zak, D.R., Z.B. Freedman, R.A. Upchurch, M. Steffens, and I. Kögel-Knabner",,,,,Global Change Biology 23: 933-944,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak 2017.pdf,zak_2017.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2017.pdf,,
ng_pub_004,Anthropogenic N deposition slows decay by favoring bacterial metabolism: Insights from metagenomic analyses,,2016,"Freedman, Z.B., R.A. Upchurch, D.R. Zak, and L.C. Cline",,,,,Frontiers in Microbiology 7: 259,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2016_a.pdf,freedman_2016_a.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_2016_a.pdf,,
ng_pub_005,Microbial potential for ecosystem N loss is increased by experimental N deposition,,2016,"Freedman, Z.B., R.A. Upchurch, and D.R. Zak",,,,,PloS one 11: e0164531,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2016_b.pdf,freedman_2016_b.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_2016_b.pdf,,
ng_pub_006,Chronic nitrogen deposition alters tree allometric relationships: implications for biomass production and carbon storage,,2016,"Ibáñez, I., D.R. Zak, A.J. Burton, and K.S. Pregitzer",,,,,Ecological Applications 26: 913 -925,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Ibanez 2016.pdf,ibanez_2016.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/ibanez_2016.pdf,,
ng_pub_007,Key ecological responses to nitrogen are altered by climate change,,2016,"Greaver, T.L., C.M. Clark, J.E. Compton, D. Vallano, A.F. Talhelm, C.P. Weaver, L.E. Band, J.S. Baron, E.A. Davidson, C.L. Tague, and E. Felker-Quinn",,,,,Nature Climate Change 6: 836-843,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Greaver 2016.pdf,greaver_2016.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/greaver_2016.pdf,,
ng_pub_008,Differential responses of total and active soil microbial communities to long-term experimental N deposition,,2015,"Freedman, Z.B., K.J. Romanowicz, R.A. Upchurch, and D.R. Zak",,,,,Soil Biology and Biochemistry 90: 275-282,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2015.pdf,freedman_2015.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_2015.pdf,,
ng_pub_009,Fine roots are the dominant source of recalcitrant plant litter in sugar maple-dominated northern hardwood forests,,2015,"Mengxue Xia, Alan F. Talhelm and Kurt S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia_et_al-2015-New_Phytologist.pdf,xia_et_al-2015-new_phytologist.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia_et_al-2015-new_phytologist.pdf,,
ng_pub_010,Redefining fine roots improves understanding of below-ground contributions to terrestrial biosphere processes,,2015,"M. Luke McCormack, Ian A. Dickie, David M. Eissenstat, Timothy J. Fahey, Christopher W. Fernandez, Dali Guo, Helj€a-Sisko Helmisaari, Erik A. Hobbie, Colleen M. Iversen, Robert B. Jackson, Jaana Leppalammi-Kujansuu, Richard J. Norby, Richard P. Phillips, Kurt S. Pregitzer, Seth G. Pritchard, Boris Rewald and Marcin Zadworny",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/McCormack_et_al-2015-New_Phytologist.pdf,mccormack_et_al-2015-new_phytologist.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/mccormack_et_al-2015-new_phytologist.pdf,,
