objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_pub_011,Fine roots are the dominant source of recalcitrant plant litter in sugar maple-dominated northern hardwood forests,,2015,"Xia, M., A.F. Talhelm, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Xia-et-al-2015-Gradient-litter-chem.pdf,xia-et-al-2015-gradient-litter-chem.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/xia-et-al-2015-gradient-litter-chem.pdf,,
ng_pub_012,"Atmospheric N Deposition Alters Connectance, but not Functional Potential Among Saprotrophic Bacterial Communities",,2015,"Freedman, Z., and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2015_Mol_Ecol_Accepted.pdf,freedman_2015_mol_ecol_accepted.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_2015_mol_ecol_accepted.pdf,,
ng_pub_013,Forest floor community metatranscriptomes identify fungal and bacterial responses to N deposition in two maple forests,,2015,"Hesse, C.N., R.C. Mueller, M. Vuyisich, L.V. Gallegos-Graves, C.D. Gleasner, D.R. Zak, and C. R. Kuske",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hesse_Frontiers_2015.pdf,hesse_frontiers_2015.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hesse_frontiers_2015.pdf,,
ng_pub_014,Soil Bacterial Communities are Shaped by Temporal and Environmental Filtering: Evidence from a Long‐Term Chronosequence,,2015,"Freedman, Z., and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_EnvMicro_2015.pdf,freedman_envmicro_2015.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_envmicro_2015.pdf,,
ng_pub_015,Atmospheric N Deposition Increases Bacterial Laccase-Like Multicopper Oxidases: Implications for Organic Matter Decay,,2014,"Freedman, Z., and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman_2014_AEM.pdf,freedman_2014_aem.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_2014_aem.pdf,,
ng_pub_016,Trophic stability of soil oribatid mites in the face of environmental change,,2014,"Gan, H., D.R. Zak, and M.D. Hunter",,,,,Soil Biology and Biochemistry 68: 71-77,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Gan_2014.pdf,gan_2014.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/gan_2014.pdf,,
ng_pub_017,Ecosystem Succession and Nutrient Retention: Vitousek and Reiners' Hypothesis,,2014,"Zak, D.R.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2014_Bulletin.pdf,zak_2014_bulletin.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2014_bulletin.pdf,,
ng_pub_018,Long-term experimental nitrogen deposition alters the composition of the active fungal community in the forest floor,,2013,"Entwistle, E.M., D.R. Zak, and I.P. Edwards",,,,,Soil Science Society of America Journal 77: 1648-1658,Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Entwistle_2013.pdf,entwistle_2013.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/entwistle_2013.pdf,,
ng_pub_019,Towards a molecular understanding of N cycling in northern hardwood forests under future rates of N deposition,,2013,"Freedman, Z., S.D. Eisenlord, D.R. Zak, K. Xue, Z. He, and J. Zhou",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Freedman et al 2013 Gradient molecular N cycling.pdf,freedman_et_al_2013_gradient_molecular_n_cycling.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/freedman_et_al_2013_gradient_molecular_n_cycling.pdf,,
ng_pub_020,Chronic nitrogen deposition and the composition of active arbuscularmycorrhizal fungi,,2013,"van Diepen, L.T.A., E.M. Entwistle, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/van Diepen et al 2013 Gradient AM cmty comp.pdf,van_diepen_et_al_2013_gradient_am_cmty_comp.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/van_diepen_et_al_2013_gradient_am_cmty_comp.pdf,,
ng_pub_021,Chronic nitrogen deposition alters the structure and function of detrital food webs in a northern hardwood ecosystem,,2013,"Gan, H., D.R. Zak, and M.D. Hunter",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Gan et al 2013 Gradient soil foodwebs.pdf,gan_et_al_2013_gradient_soil_foodwebs.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/gan_et_al_2013_gradient_soil_foodwebs.pdf,,
ng_pub_022,Chronic nitrogen deposition reduces the abundance of dominant forest understory and groundcover species,,2013,"Talhelm, A.F., A.J. Burton, K.S. Pregitzer, and M.A. Campione",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,http://www.sciencedirect.com/science/article/pii/S0378112712007438,,
ng_pub_023,Microbial mechanisms mediating increased soil C storage under elevated atmospheric N deposition,,2013,"Eisenlord, S.D., Z. Freedman, D.R. Zak, K. Xue, Z. He, and J. Zhou",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,http://aem.asm.org/content/early/2012/12/04/AEM.03156-12.abstract,,
ng_pub_024,Nitrogen saturation,,2012,"Pregitzer, K.S., and A.F. Talhelm",,,,,"Berkshire Encyclopedia of Sustainability, Volume 5",Text,,,,,,record,,,
ng_pub_025,Sinks for nitrogen inputs in terrestrial ecosystems: a meta-analysis of 15N tracer field studies,,2012,"Templer, P.H., et al.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Templer et al 2012 15N tracer meta analaysis.pdf,templer_et_al_2012_15n_tracer_meta_analaysis.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/templer_et_al_2012_15n_tracer_meta_analaysis.pdf,,
ng_pub_026,Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,,2012,"Eisenlord, S.D., D.R. Zak, and R.A. Upchurch",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Eisenlord et al 2012 Actinobacteria cmty assembly chronosequence.pdf,eisenlord_et_al_2012_actinobacteria_cmty_assembly_chronosequence.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/eisenlord_et_al_2012_actinobacteria_cmty_assembly_chronosequence.pdf,,
ng_pub_027,Chronic N Deposition Does Not Apparently Alter the Biochemical Composition of Forest Floor and Soil Organic Matter,,2012,"Thomas, D.C., D.R. Zak, and T.R. Filley",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Thomas et al 2012 N deposition soil C chemistry.pdf,thomas_et_al_2012_n_deposition_soil_c_chemistry.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/thomas_et_al_2012_n_deposition_soil_c_chemistry.pdf,,
ng_pub_028,Anthropogenic N Deposition Increases Soil C Storage by Decreasing the Extent of Litter Decay: Analysis of Field Observations with an Ecosystem Model,,2012,"Whittinghill, K.A., W.S. Currie, D.R. Zak, A.J. Burton, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Whittinghill et al 2012 Gradient Litter Decomp Model.pdf,whittinghill_et_al_2012_gradient_litter_decomp_model.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/whittinghill_et_al_2012_gradient_litter_decomp_model.pdf,,
ng_pub_029,Air pollution and the changing biogeochemistry of northern forests,,2012,"Talhelm, A.F., K.S. Pregitzer, A.J. Burton, and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,http://www.esajournals.org/doi/pdf/10.1890/110007,,
ng_pub_030,Simulated N deposition negatively impacts sugar maple regeneration in a northern hardwood ecosystem,,2011,"Patterson, S.L., D.R. Zak, A.J. Burton, A.F. Talhelm, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Patterson et al 2011 Gradient HM Seedlings.pdf,patterson_et_al_2011_gradient_hm_seedlings.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/patterson_et_al_2011_gradient_hm_seedlings.pdf,,
ng_pub_031,Chronic N deposition alters root respiration-tissue N relationship in northern hardwoods forests,,2011,"Burton, A.J., J.C. Jarvey, M.P. Jarvi, D.R. Zak, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton et al 2011 Root respiration N concentration.pdf,burton_et_al_2011_root_respiration_n_concentration.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_et_al_2011_root_respiration_n_concentration.pdf,,
ng_pub_032,"Mercury distribution across 14 U.S. forests. Part I: Spatial patterns of concentrations in biomass, litter, and soils",,2011,"Obrist, D., et al.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Obrist et al 2011 Hg Pools US Forests.pdf,obrist_et_al_2011_hg_pools_us_forests.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/obrist_et_al_2011_hg_pools_us_forests.pdf,,
ng_pub_033,Simulated atmospheric N deposition alters fungal community composition and suppresses ligninolytic gene expression in a northern hardwood forest,,2011,"Edwards, I.P., D.R. Zak, H. Kellner, S.D. Eisenlord, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0020421,,
ng_pub_034,No evidence that chronic nitrogen additions increase photosynthesis in mature sugar maple forests,,2011,"Talhelm, A.F., K.S. Pregitzer, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,http://www.esajournals.org/doi/abs/10.1890/10-2076.1,,
ng_pub_035,Microbial responses to a changing environment: implications for the future functioning of terrestrial ecosystems,,2011,"Zak, D.R., K.S. Pregitzer, A.J. Burton, I.P. Edwards, and H. Kellner",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak et al 2011 Microbial responses N dep.pdf,zak_et_al_2011_microbial_responses_n_dep.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_et_al_2011_microbial_responses_n_dep.pdf,,
ng_pub_036,Simulated nitrogen deposition affects community structure of arbuscular mycorrhizal fungi in northern hardwood forests,,2011,"van Diepen, L.T.A., E.A. Lilleskov, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/van Diepen et al 2011 AM community structure Gradient.pdf,van_diepen_et_al_2011_am_community_structure_gradient.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/van_diepen_et_al_2011_am_community_structure_gradient.pdf,,
ng_pub_037,Nitrogen turnover in the leaf litter and fine roots of sugar maple,,2010,"Pregitzer, K.S., D.R. Zak, A.F. Talhelm, A.J. Burton, and J.R. Eikenberry.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer et al 2010 Gradient 15N Turnover.pdf,pregitzer_et_al_2010_gradient_15n_turnover.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_et_al_2010_gradient_15n_turnover.pdf,,
ng_pub_038,Simulated nitrogen deposition causes a decline of intra- and extraradical abundance of arbuscular mycorrhizal fungi and changes in microbial community structure in northern hardwood forests,,2010,"van Diepen, L.T.A., E.A. Lilleskov, K.S. Pregitzer, and R.M. Miller",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/van Diepen et al 2010 AM abundance.pdf,van_diepen_et_al_2010_am_abundance.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/van_diepen_et_al_2010_am_abundance.pdf,,
ng_pub_039,Chronic simulated atmospheric N deposition alters actinobacterial community composition in forest floor and surface soil,,2010,"Eisenlord, S.D., and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Eisenlord and Zak 2010 SSSAJ.pdf,eisenlord_and_zak_2010_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/eisenlord_and_zak_2010_sssaj.pdf,,
ng_pub_040,Fungi unearthed: transcripts encoding lignocellulolytic and chitinolyic enzymes in forest soil,,2010,"Kellner, H., D.R. Zak, and M. Vandenbol.",,,,,Fungi unearthed: transcripts encoding lignocellulolytic and chitinolyic enzymes in forest soil,Text,,,,,,record,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0010971,,
ng_pub_041,Are basidiomycete laccase gene abundance and composition related to reduced lignolytic activity under elevated atmospheric NO,,2009,"Hassett, J.E., D.R. Zak, C.B. Blackwood, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hassett_2009_Microbial_Ecology.pdf,hassett_2009_microbial_ecology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hassett_2009_microbial_ecology.pdf,,
ng_pub_042,Detection of fungal type I polyketide synthase genes in a forest soil,,2009,"Kellner, H., and D.R. Zak",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Kellner_2009_Soil_Bio.pdf,kellner_2009_soil_bio.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/kellner_2009_soil_bio.pdf,,
ng_pub_043,Respiration from roots and the mycorrhizosphere,,2009,"Moyano, F.E., O.K. Atkin, M. Bahn, D. Bruhn, A.J. Burton, A. Heinemeyer, W.L. Kutsch, and G. Wieser",,,,,"Soil Carbon Dynamics: An Integrated Methodology, Chap. 7",Text,,,,,,record,,,
ng_pub_044,"Measuring forest floor, mineral soil, and root carbon stocks",,2008,"Burton, A.J., and K.S. Pregitzer",,,,,"Handbook of Measurements for Landscape Scale Carbon Monitoring, Chap. 10",Text,,,,,,record,,,
ng_pub_045,Chronic atmospheric NO<sub>3</sub><sup>−</sup> deposition does not induce NO<sub>3</sub><sup>−</sup> use by <i>Acer saccharum</i> Marsh,,2008,"Eddy, W.E., D.R. Zak, W.E. Holmes, and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Eddy_2008_Ecosystems.pdf,eddy_2008_ecosystems.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/eddy_2008_ecosystems.pdf,,
ng_pub_046,Simulated chronic nitrogen deposition increases carbon storage in northern temperate forests,,2008,"Pregitzer, K.S., A.J. Burton, D.R. Zak, and A.F. Talhelm",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_2008_Global_Change_Biology.pdf,pregitzer_2008_global_change_biology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_2008_global_change_biology.pdf,,
ng_pub_047,Tree root architecture - form and function,,2008,"Pregitzer, K.S.",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_2008_New_Phytologist.pdf,pregitzer_2008_new_phytologist.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_2008_new_phytologist.pdf,,
ng_pub_048,The contribution of root - rhizosphere interactions to biogeochemical cycles in a changing world,,2008,"Pregitzer, K., D. R. Zak, W. M. Loya, N. J. Karberg, J.S. King, and A.J. Burton",,,,,The Rhizosphere - An Ecological Perspective,Text,,,,,,record,,,
ng_pub_049,"Scaling of respiration to nitrogen in leaves, stems and roots of higher land plants",,2008,"Reich, P.B., M.G. Tjoelker, K.S. Pregitzer, I.J. Wright, J.Oleksyn, and J-L Machado",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Reich_2008_Ecology_Letters.pdf,reich_2008_ecology_letters.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/reich_2008_ecology_letters.pdf,,
ng_pub_050,Chronic atmospheric NO<sub>3</sub><sup>−</sup>deposition alters actinobacterial community composition,,2008,"Ritter, A.",,,,,"Undergraduate Honors Thesis, University of Michigan",Text,,,,,,record,,,
ng_pub_051,Stoichiometry of soil enzyme activity at global scale,,2008,"Sinsabaugh, R.L., C.L. Lauber, M.N. Weintraub, B. Ahmed, S.D. Allison, C. Crenshaw, AR. Contosta, D. Cusack, S. Frey, M. E. Gallo, T. B. Gartner, S.E. Hobbie, K. Holland, B.L. Keeler, J.S. Powers, M. Stursova, C. Takacs-Vesbach, M.P. Waldrop, M. Wallenstein, D.R. Zak, and L.H. Zeglin",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Sinsabaugh_2008_Ecology_Letters.pdf,sinsabaugh_2008_ecology_letters.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/sinsabaugh_2008_ecology_letters.pdf,,
ng_pub_052,Chronic simulated atmospheric N deposition alters actinobacterial community composition in forest floor and surface soil,,2008,"Eisenlord, S.D.",,,,,"M.S. Thesis, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_053,The role and diversity of arbuscular mycorrhizal fungi in <i>Acer saccharum</i>dominated forest ecosystems under natural and N-amended conditions,,2008,"Van Diepen, L.T.A.",,,,,"Ph.D. Dissertation, Michigan Technological University, Houghton",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/van_Diepen_dissertation_2008.pdf,van_diepen_dissertation_2008.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/van_diepen_dissertation_2008.pdf,,
ng_pub_054,Simulated atmospheric NO<sub>3</sub><sup>−</sup> deposition increases soil organic matter by slowing decomposition,,2008,"Zak, DR, W.E. Holmes, A.J. Burton, K.S. Pregitzer, and A.F. Talhelm Errata",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Zak_2008_Eco_Apps.pdf,zak_2008_eco_apps.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/zak_2008_eco_apps.pdf,,
ng_pub_055,Interpreting ecological diversity indices applied to T-RFLP data: Insights from simulated microbial communities,,2007,"Blackwood, C.B., D.E. Hudleston, D.R. Zak and J.S. Buyer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Blackwood_2007_Applied_and_Envt_Microbio.pdf,blackwood_2007_applied_and_envt_microbio.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/blackwood_2007_applied_and_envt_microbio.pdf,,
ng_pub_056,The contribution of root – rhizosphere interactions to biogeochemical cycles in a changing world,,2007,"Pregitzer, K.S., D.R. Zak, W.M. Loya, N.J. Karberg, J.S. King and A.J. Burton",,,,,"The Rhizosphere: An Ecological Perspective, Chap. 7",Text,,,,,,record,,,
ng_pub_057,Characteristics of DOC exported from northern hardwood forests receiving chronic experimental <span> NO<sub>3</sub><sup>−</sup></span><span> </span>deposition,,2007,"Smemo, K.A., D.R. Zak, K.S. Pregitzer, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Smemo_2007_Ecosystems.pdf,smemo_2007_ecosystems.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/smemo_2007_ecosystems.pdf,,
ng_pub_058,Decline of arbuscular mycorrhizal fungi in northern hardwood forests exposed to chronic nitrogen additions,,2007,"Van Diepen, L.T.A., E.A. Lilleskov, K.S. Pregitzer, and R.M. Miller",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/VanDiepen_2007_New_Phytol.pdf,vandiepen_2007_new_phytol.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/vandiepen_2007_new_phytol.pdf,,
ng_pub_059,Forest carbon management in the United States: 1600 – 2100,,2006,"Birdsey, R., K.S. Pregitzer, A. Lucier",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Birdsey_2006_Journal_of_Environmental_Quality.pdf,birdsey_2006_journal_of_environmental_quality.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/birdsey_2006_journal_of_environmental_quality.pdf,,
ng_pub_060,Plant and microbial mechanisms of N retention in northern hardwood forests receiving chronic <span> NO<sub>3</sub><sup>−</sup> </span> deposition.,,2006,"Eddy, W.C.",,,,,"M.S. Thesis, University of Michigan, Ann Arbor, Michigan",Text,,,,,,record,,,
