objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_001,Tree DBH and Height,Tree DBH and Height,,,,All,1987-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DBH&Height1987-2016.xls,dbh_height1987-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/dbh_height1987-2016.xls,,
ng_002,Sugar Maple Leaf Litter C and N,Sugar Maple Leaf Litter C and N,,,,All,1994-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLSX,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Sugar_Maple_Leaf_Litter_C&N_1994-2016.xlsx,sugar_maple_leaf_litter_c_n_1994-2016.xlsx,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/sugar_maple_leaf_litter_c_n_1994-2016.xlsx,,
ng_003,Control Plot Site Averages,Control Plot Site Averages,,,,All,1988-2013,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientAmbient1988-2013.xls,gradientambient1988-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientambient1988-2013.xls,,
ng_004,Daily Precipitation,Daily Precipitation,,,,All,1987-2011,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DailyPrecip87-11.xls,dailyprecip87-11.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/dailyprecip87-11.xls,,
ng_005,Leaf Phenology and Duration,Leaf Phenology and Duration,,,,All,1988-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/LeafDuratiion&Phenology1988-2016.xls,leafduratiion_phenology1988-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leafduratiion_phenology1988-2016.xls,,
ng_006,Soil Temperature and Moisture,Soil Temperature and Moisture,,,,All,1988-2011,Daily,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/AirTemp_SoilTempH2O1988-2011.xls,airtemp_soiltemph2o1988-2011.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/airtemp_soiltemph2o1988-2011.xls,,
ng_007,Stem Diameter and Height,Stem Diameter and Height,,,,All,1987-2011,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DBH&Height_1987-2015.XLS,dbh_height_1987-2015.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/dbh_height_1987-2015.xls,,
ng_008,"Litter Biomass, Leaf Area Index","Litter Biomass, Leaf Area Index",,,,All,1988-2013,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Litter&LAI_1988-2013.xls,litter_lai_1988-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/litter_lai_1988-2013.xls,,
ng_009,Litter Mass Remaining,Litter Mass Remaining,,,,All,2011-2014,Various,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLSX,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientLitterMassRemaining2011-2014.xlsx,gradientlittermassremaining2011-2014.xlsx,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientlittermassremaining2011-2014.xlsx,,
ng_010,Nitrogen Budget,Nitrogen Budget,,,,All,2004,Periodic,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Gradient%20N%20Budget_2004.xls,gradient_n_budget_2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradient_n_budget_2004.xls,,
