objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_011,δ<sup>15</sup>N Budget,δ15N Budget,,,,B,2004,Periodic,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Pellston 15N Budget Summary_2004.xls,pellston_15n_budget_summary_2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/pellston_15n_budget_summary_2004.xls,,
ng_012,Water Balance,Water Balance,,,,All,1988-2004,Monthly,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/WaterBalance1988-2004.xls,waterbalance1988-2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/waterbalance1988-2004.xls,,
ng_013,Basal Area,Basal Area,,,,All,1987-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/BasalArea1987-2016.xls,basalarea1987-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/basalarea1987-2016.xls,,
ng_014,δ<sup>15</sup>N Turnover,δ15N Turnover,,,,B,1994-2008,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Pellston 15N Turnover_2008.xls,pellston_15n_turnover_2008.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/pellston_15n_turnover_2008.xls,,
ng_015,"Ambient Plot Leaf Litter C, N, and δ<sup>15</sup>N","Ambient Plot Leaf Litter C, N, and δ15N",,,,All,1988-2007,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Control Plot Leaf CN d15N.xls,control_plot_leaf_cn_d15n.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/control_plot_leaf_cn_d15n.xls,,
ng_016,Leaf Litter δ<sup>13</sup>C and δ<sup>18</sup>O,Leaf Litter δ13C and δ18O,,,,All,1988-2007,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Leaf Litter d13C d18O.xls,leaf_litter_d13c_d18o.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leaf_litter_d13c_d18o.xls,,
ng_017,"Canopy Tower Leaf Gas Exchange, Size, and Chemistry","Canopy Tower Leaf Gas Exchange, Size, and Chemistry",,,,B,2006-2007,Biweekly (Seasonal),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Canopy Tower Leaf Size and Chemistry.xls,canopy_tower_leaf_size_and_chemistry.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/canopy_tower_leaf_size_and_chemistry.xls,,
ng_018,"Excised Branch Leaf Gas Exchange, Size, and Chemistry","Excised Branch Leaf Gas Exchange, Size, and Chemistry",,,,All,2006-2007,Seasonal,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Canopy Leaf Gas Exchange and Chemistry.xls,canopy_leaf_gas_exchange_and_chemistry.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/canopy_leaf_gas_exchange_and_chemistry.xls,,
ng_019,Leaf Litter S Ca Al Mg B K concentrations,Leaf Litter S Ca Al Mg B K concentrations,,,,All,1987-2005,Annual (Periodic),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Leaf Litter S Ca Al Mg B K.xls,leaf_litter_s_ca_al_mg_b_k.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leaf_litter_s_ca_al_mg_b_k.xls,,
ng_020,Sugar Maple Seedling Abundance,Sugar Maple Seedling Abundance,,,,All,2008-2010,Seasonal,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientSeedlingData_SPatterson.xls,gradientseedlingdata_spatterson.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientseedlingdata_spatterson.xls,,
ng_021,Soil Respiration,Soil Respiration,,,,All,"1994, 1998-2005, 2009-2013",Biweekly (Seasonal),"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/SoilRespGradient1994-2013.xls,soilrespgradient1994-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/soilrespgradient1994-2013.xls,,
ng_022,Root Respiration,Root Respiration,,,,All,"1994-2003, 2009",Various,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/RootRespiration1994-2009.xls,rootrespiration1994-2009.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/rootrespiration1994-2009.xls,,
ng_023,Root Biomass,Root Biomass,,,,All,"1994, 1996, 2000, 2001, 2009",Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/RootBiomass1994-2009.xls,rootbiomass1994-2009.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/rootbiomass1994-2009.xls,,
