objectid,title,subject,creator,editor,date,publication_type,format,identifier,description,rivers,years_studied,source,research_topic,location,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb
rrrd020,People and the River: Perception and use of Chicago Waterways for Recreation,perception; planning; management,"Gobster, P.H.; Westphal, L.M.",,1998,Report,record,,"This report describes an interrelated set of social science investigations conducted for the Chicago Rivers Demonstration Project. The purpose of these studies was to understand how user and interest groups currently perceive and use the Chicago and Calumet River corridors, and how they would like to see the corridors improved for recreation and related values. An introductory chapter defines overall research objectives and presents a framework for identifying important groups, settings, and issues for study. Four subsequent chapters address these dimensions with respect to a) nearby neighborhood residents, b) on-site recreational users, c) resource experts, and d) recreation habitats. Three additional chapters briefly summarize support studies which assessed a) the outdoor needs of Chicago residents, b) the leisure needs and preferences of Chinese Americans living in Chinatown, and c) the recreational use of the Chicago River system by canoeists, kayakers and rowers. A final chapter summarizes and synthesizes findings from all these studies (as well as the findings from a metropolitan-wide telephone survey of area residents published in the Chicago Rivers Demonstration Project document entitled, ""Resident Use and Perception of the Chicago and Calumet Rivers""), and suggests directions for corridor planning and management.",Calumet; Chicago,,"Milwaukee, WI; USDI National Park Service, Rivers, Trails, and Conservation Assistance Program; MISC-NC-0; 192 pp.",User satisfaction,Illinois,2010-03-15,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/20,20,19.jpg,/rrrd/image/19.jpg,record,,,,
rrrd021,Angler use and attitudes on the Mack's Inn reach of the Henry's Fork of the Snake River,,"Van Kirk, R., Hanson, D., Peracca, G., Giese, K. and Kitching, A.",,1999,Report,application/pdf,vankirk_etal_1999.pdf,,Snake (Henry's Fork),,"Ashton, ID; The Henry's Fork Foundation","Use estimation methods, User experience, User characteristics",Idaho,2010-03-15,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/21,21,20.pdf,/rrrd/image/20.pdf,pdf,rrrd021.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd021.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd021_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd021_th.jpg
rrrd022,Comparative analysis of whitewater boating resources in Oregon: toward a regional model of river recreation,,"Shelby, B., Johnson, R. L. and Brunson, M.",,1990,Report,application/pdf,shelby_etal_1990.pdf,,Clackamas; Deschutes; Klamath (Upper); Rogue,,"Corvallis, OR; Oregon State University, Water Resources Research Institute; WRRI-108; 144p","User experience, Boater characteristics, Economic value of recreation, User satisfaction, Flow effects",Oregon,2010-03-15,2010-03-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/22,22,21.pdf,/rrrd/image/21.pdf,pdf,rrrd022.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd022.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd022_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd022_th.jpg
rrrd023,Motives for recreational river floating: relative consistency across settings,,"Knopf, R. C., Peterson, G. L. and Leatherberry, E. C.",,1983,Journal Article,application/pdf,knopf_etal_1983.pdf,,Apple; Colorado; Main Salmon; Middle Fork Salmon; Missouri; Deschutes; Hiawassee; Ocoee; Illinois; Mohican; Nantahala,,"Leisure Sciences, ISSN 0149-0400, Volume 5, Issue 3, 231-255 pp.","User experience, Recreation setting",Wisconsin; Colorado; Idaho; Montana; Oregon; Tennessee; Oklahoma; Ohio; North Carolina,2010-03-15,2010-03-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/23,23,22.pdf,/rrrd/image/22.pdf,pdf,rrrd023.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd023.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd023_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd023_th.jpg
rrrd024,A case study of the nature of conflict between motorized and non-motorized boaters on the Lower Salmon River in Idaho,,"Pinto, A.",,2002,Thesis,record,,,Salmon (Lower),,"Moscow, ID, University of Idaho, 271 p.",User group conflicts,Idaho,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/24,24,23.jpg,/rrrd/image/23.jpg,record,,,,
rrrd025,A comparative analysis of value between users and non-users of the White River,,"Frymier, L. G. and Mitchell, C. H.","Kuentzel, W. F.",1997,Conference Proceedings,record,,,White,,"Proceedings of the 1996 Northeastern Recreation Research Symposium, GTR-NE-232, March 31-April 2, 1996; Bolton Landing, NY; USDA Forest Service, Northeastern Forest Experiment Station; 79-81 pp.",Economic value of recreation,Vermont,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/25,25,24.jpg,/rrrd/image/24.jpg,record,,,,
rrrd026,"A comparison of on-site hunters, sportsmen and the general public about recreational rates and future land use preferences for the Savannah River Site",,"Burger, J.",,2000,Journal Article,record,,,Savannah,,"Journal of Environmental Planning and Management; ISSN 0964-0568; Volume 43, Issue 3; 221-233 pp.",User characteristics,South Carolina,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/26,26,25.jpg,/rrrd/image/25.jpg,record,,,,
rrrd027,A comparison of user vs. researcher determined level of past experience on recreation preference,,"Hammitt, W. E., Knauf, L. R. and Noe, F. P.",,1989,Journal Article,record,,,Big South Fork National River,,Journal of Liesure Research; ISSN 0022-2216; Issue 21; Volume 3; 202-213 pp.,User characteristics,Tennessee,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/27,27,26.jpg,/rrrd/image/26.jpg,record,,,,
rrrd028,A survey of the attitude of residents along the Hellgate Recreation Area of the Rogue River toward user groups and their impact,,"York, R., Rowland, P. and Salley, K.",,1994,Book,record,,,Rogue (Hellgate),,"Ashland, Or.; Oregon State College","User group conflicts, Local resident viewpoint",Oregon,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/28,28,27.jpg,/rrrd/image/27.jpg,record,,,,
rrrd029,A user/setting approach to understanding recreational experiences,,"Ditton, R. B., Fedler, A. J., Holland, S. M. and Graefe, A. R.","Cordell, H. K. and McLellan, R. W.",1981,Conference Proceedings,record,,,Buffalo National River,,"Southeastern Recreation Research Conference; Asheville, NC; USDA Forest Service, Southeastern Forest Experiment Station; 237-252 pp.","Recreation experience, Recreation setting",Arizona,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/29,29,28.jpg,/rrrd/image/28.jpg,record,,,,
rrrd030,Alcohol and outdoor recreation: an empirical investigation of visitors to an urban river corridor,,"Robertson, R. A.",,1993,Journal Article,record,,,Illinois and Michigan Canal Heritage Corridors,,Journal of Applied Recreation Research; Volume 18; Issue 3; 197-209 pp.,User characteristics,Illinois; Michigan,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/30,30,29.jpg,/rrrd/image/29.jpg,record,,,,
rrrd031,An analysis of angler preferences for fishery management strategies,,"Schoolmaster, F. A. and Frazier, J. W.",,1985,Journal Article,record,,,Madison,,Leisure Sciences Special Issue: Human dimensions in wildlife; ISSN 0149-0400; Volume 7; Issue 3; 321-342 pp.,Miscellaneous,Montana,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/31,31,30.jpg,/rrrd/image/30.jpg,record,,,,
rrrd032,An analysis of congestion measures and heterogeneous angler preferences in a random utility model of recreational fishing,,"Schuhmann, P. W. and Schwabe, K. A.",,2004,Journal Article,record,,,Roanoke,,Environmental and Resource Economics; ISSN 0924-6460; Volume 27; Issue 4; 429-450 pp.,"Recreation experience, Crowding",North Carolina,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/32,32,31.jpg,/rrrd/image/31.jpg,record,,,,
rrrd033,An analysis of national park legislative histories and legal foundations: recreational management directives for the New River Gorge National River,,"Simpson, S. V.",,1989,Journal Article,record,,,New,,"Dissertation Abstracts International Section A, Humanities and Social Sciences; Volume 50; Issue 4; p. 1089",Framework for managing recreation,West Virginia,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/33,33,32.jpg,/rrrd/image/32.jpg,record,,,,
rrrd034,An econometric model of success and the demand for recreational angling,,"Raab, R. L. and Steinnes, D. N.",,1982,Report,record,,,Lake Superior River,,"Duluth, MN; Minnesota Sea Grant Program, University of Minnesota; Research Report No.5; 14 pp.",Economic value of recreation,Unknown,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/34,34,33.jpg,/rrrd/image/33.jpg,record,,,,
rrrd035,An economic evaluation of the St. Lawrence River-eastern Lake Ontario bass fishery,,"Menz, F. and Wilton, D.",,1981,Report,record,,,St. Lawrence,,"Stony Brook, NY;  New York Sea Grant Institute; 8",Economic value of recreation,New York,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/35,35,34.jpg,/rrrd/image/34.jpg,record,,,,
rrrd036,An empirical application of a model for estimating the recreation value of instream flow,,"Walsh, R. G., Ericson, R. K., Arosteguy, D. J. and Hansen, M. P.",,1980,Report,record,,,Eagle; Frying Pan; Homestake Creek,,"Fort Collins, CO;  Colorado Water Resources Research Institute, Colorado State University; Completion Report No. 101; 66 pp.",Economic value of recreation,Colorado,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/36,36,35.jpg,/rrrd/image/35.jpg,record,,,,
rrrd037,An empirical comparison of the four channel flow model and adventure experience paradigm,,"Jones, C. D., Hollenhorst, S. J. and Perna, F.",,2003,Journal Article,record,,,Cheat,,Leisure Sciences; ISSN 0149-0400; Volume 25; Issue 1; 17-31 pp.,Recreation experience,West Virginia,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/37,37,36.jpg,/rrrd/image/36.jpg,record,,,,
rrrd038,An examination of recreationists' relationships with activities and settings,,"Kyle, G., Bricker, K., Graefe, A. and Wickham, T.",,2004,Journal Article,record,,,American (South Fork),,Leisure Sciences; ISSN 0149-0400; Volume 26; Issue 2; 123-142 pp.,Place attachment,California,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/38,38,37.jpg,/rrrd/image/37.jpg,record,,,,
rrrd039,A new model for the travel cost method: the total expenses approach,,"Douglas, A. J. and Taylor, J. G.",,1999,Journal Article,record,,,Unknown,,Environmental Modelling and Software; ISSN 1364-8152; Volume 14; Issue 1; 81-92 pp.,Economic value of recreation,Unknown,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/39,39,38.jpg,/rrrd/image/38.jpg,record,,,,
rrrd040,A crowding-based model of social carrying capacity: applications for whitewater boating use,"Crowding, Carrying capacity","Tarrant, M. A. and English, D. B. K.",,1996,Journal Article,record,,,Nantahala,,Journal of Leisure Research; ISSN 0022-2216; Volume 28; Issue 3; 155-168 pp.,"Use allocation, Management standards",North Carolina,2010-03-29,2010-04-20,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/40,40,39.jpg,/rrrd/image/39.jpg,record,,,,
rrrd041,A path model of whitewater boating satisfaction on the cheat river of West Virginia,,"Whisman, S. A. and Hollenhorst, S. J.",,1998,Journal Article,record,,,Cheat,,Environmental Management; ISSN 0364-152X; Volume 22; Issue 1; 109-117 pp.,User satisfaction,West Virginia,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/41,41,40.jpg,/rrrd/image/40.jpg,record,,,,
rrrd042,A qualitative investigation of river rafting expeditions: the guide's perspective,,"Gibson, M. A.",,1998,Thesis,record,,,Yampa; Green,,"Greeley, CO; University of Northern Colorado; 307 p.",Outfitter/guide research,Utah; Colorado,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/42,42,41.jpg,/rrrd/image/41.jpg,record,,,,
rrrd043,"A spatial analysis of recreation perceptions, attitudes, and behavior related to the Grand River in Lansing, Michigan",,"Ready, K. F.",,1981,Thesis,record,,,Grand,,855 p.,Local resident viewpoint,Michigan,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/43,43,42.jpg,/rrrd/image/42.jpg,record,,,,
rrrd044,An exploration of sense of place as a possible explanatory concept in nature-based traveller conflict,,"Hawkins, G. and Backman, K. F.",,1998,Journal Article,record,,,Chattooga,,Tourism Analysis; Volume 3; Issue 2;  89-102 pp.,"Place attachment, User group conflicts",Georgia; North Carolina; South Carolina,2010-03-29,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/44,44,43.jpg,/rrrd/image/43.jpg,record,,,,
rrrd045,An interpretation of special place meanings whitewater recreationists attach to the South Fork of the American River,,"Bricker, K. S. and Kerstetter, D. L.",,2002,Journal Article,record,,,American (South Fork),,Tourism Geographies; ISSN 1461-6688; Volume 4; Issue 4; 396-425 pp.,"Place attachment, Recreation experience, Recreation setting",California,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/45,45,44.jpg,/rrrd/image/44.jpg,record,,,,
rrrd046,Analysis of boater pass data on the Deschutes River,,"Johnson, R., Steigerwald, D. and Cappaert, M.",,2002,Report,record,,,Deschutes,,"Corvallis, OR; Institute for Natural Resources, Oregon State University; 117 pp.",Use estimation methods,Oregon,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/46,46,45.jpg,/rrrd/image/45.jpg,record,,,,
rrrd047,Angler segmentation based on motivational scale scores,,"Dawson, C. P.",,1997,Report,record,,,Salmon,,"Newtown Square, PA; USDA Forest Service, Northeastern Forest Experiment Station; GTR-NE-232; 127-130 pp.","Anglers motivations, User characteristics, Motives",New York,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/47,47,46.jpg,/rrrd/image/46.jpg,record,,,,
rrrd048,Angling on the Snake River in the Hells Canyon National Recreation Area,,"Brown, M.",,2001,Report,record,,,Snake (Hells Canyon),,Idaho Power Company; Technical Report Appendix E. 5-11,"Boater characteristics, Trip characteristics",Idaho,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/48,48,47.jpg,/rrrd/image/47.jpg,record,,,,
rrrd049,Appropriate river recreation use study: an analysis of community response to federal presence in the upper Delaware River Valley - a report to managers,,"Carroll, M. S., Twight, B. W. and McCabe, M.",,1985,Book,record,,,Delaware (Upper),,"Philadelphia, PA; USDI National Park Service, Mid-Atlantic Regional Office","Recreation use, Local resident perspectives",Pennsylvania,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/49,49,48.jpg,/rrrd/image/48.jpg,record,,,,
rrrd050,Assessing and evaluating recreational uses of water resources: implications for an integrated management framework,,"Kakoyannis, C. and Stankey, G. H.",,2002,Report,record,,,Unknown,,"Portland, OR; USDA Forest Service, Pacific Northwest Research Station; PNW-GTR-536; 59 pp.",Framework for managing recreation,Unknown,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/50,50,49.jpg,/rrrd/image/49.jpg,record,,,,
rrrd051,Attachment to urban natural areas: effects of environmental experience,,"Ryan, R. L.",,1998,Journal Article,record,,,Unknown,,"Dissertation Abstracts International Section A, Humanities and Social Sciences; Volume 58;","Place attachment, Recreation experience, Recreation setting, Attitudes towards management",Michigan,2010-03-29,2010-04-25,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/51,51,50.jpg,/rrrd/image/50.jpg,record,,,,
rrrd052,Attitudes of Chattooga River users,,"Townsend, C. T. and Tarbet, D. D.","Cordell, H. K. and McLellan, R. W.",1982,Conference Proceedings,record,,,Chattooga,,"Southeastern Recreation Research Conference Proceedings 1980-1981; Asheville, NC; USDA Forest Service, Southeast Forest Experiment Station; 207-226 pp.","User characteristics, Crowding, User group conflicts",North Carolina,2010-03-29,2010-03-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/52,52,51.jpg,/rrrd/image/51.jpg,record,,,,
