objectid,title,subject,creator,editor,date,publication_type,format,identifier,description,rivers,years_studied,source,research_topic,location,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb
rrrd010,A Hierarchy of Campsite Attributes in Dispersed Recreation Settings,dispersed recreation;campsite;camping;user preference;user experience;whitewater boating,"Brunson, M.; Shelby, B.",,1990,Journal Article,application/pdf,brunson_shelby_1990.pdf,"This study reviews campsite choice research for common attributes that people use to choose campsites. A typology is developed that breaks down site attributes into three categories: necessity attributes (those that are necessary for providing a minimum quality camping experience), experience attributes (those that relate most closely with the preferred experience outcomes desired by recreationists), and amenity attributes (those that are least important to overall campsite choice, but may help in making the final decision). From this typology, a model was developed as a guideline for campsite choice.",Deschutes,,Leisure Sciences; ISSN 0149-0400; Vol 12; Issue 2; 197-209 pp.,Recreation setting;User experience,Oregon,2008-03-21,2008-04-07,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/10,10,9.pdf,/rrrd/image/9.pdf,pdf,rrrd010.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd010.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd010_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd010_th.jpg
rrrd011,Displacement and product shift: empirical evidence from Oregon rivers,,"Shelby, B.; Bregenzer, N. S.; Johnson, R.",,1988,Journal Article,application/pdf,shelby_etal_1988.pdf,"User satisfaction as it relates to product shift and displacement is explored in three studies, two on the Rogue River, Oregon and one on the Illinois River, Oregon. Product shift (i.e., recreationists change their definition of recreation experience in response to resource conditions) and displacement (i.e., recreationists use a different recreation site due to unsatisfactory impacts occurring at original site) are hypothesized to occur when recreationists are dissatisfied with current resource conditions. Factors influencing these phenomena are also explored. Results indicate displacement is occurring from the Rogue to the Illinois River. Significant findings and management implications are discussed.",Rogue; Illinois,,Journal of Leisure Research; ISSN 0022-2216; Vol 20; Issue 4; 274-288 pp.; 1988.,User satisfaction; Recreation experience; Recreation setting; Social norms; Crowding,Oregon,2008-04-07,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/11,11,10.pdf,/rrrd/image/10.pdf,pdf,rrrd011.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd011.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd011_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd011_th.jpg
rrrd012,Whitewater Boating on the Upper Clackamas River 2002 Survey Results,,"Hall, T.",,2004,Report,application/pdf,hall_2004.pdf,"This study was conducted to obtain selected information about unguided whitewater boaters on the Upper Clackamas River. Questions addressed boater characteristics, trip characteristics, preferences for river flows, conditions encountered and experience quality, and opinions about management. On 47 days between late February and early August 2002, 426 private whitewater boaters using the 13-mile stretch of the Clackamas River completed on-site questionnaires. Results indicate the majority of boaters are kayakers, males, living within 50 miles of the river, and are experienced boaters. Use levels have increased to the point that most boaters feel at least slightly crowded, and a substantial number have altered their use of the river to cope with crowding. Nevertheless, few believe that boating should be limited. Other conditions are relatively minor problems, with the exception of vandalism to private property and human waste along the river. Existing services and facilities do not rate high marks, though few boaters support any additional facilities.",Clackamas,2002,"Portland, OR; Portland General Electric Company; FERC No. 2195; 47 pp.; 2004.","Boater characteristics, Crowding, Human waste, User experience, Trip characteristics",Oregon,2008-04-07,2010-03-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/12,12,11.pdf,/rrrd/image/11.pdf,pdf,rrrd012.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd012.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd012_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd012_th.jpg
rrrd013,A Process for Allocating Public Recreation Resources,even-pool system;use allocation;survey research,"McCool, S. F.; Utter, J.","Buist, L. J.",1981,Conference Proceedings,application/pdf,mccool_utter_1981.pdf,"This paper proposes a structure and process for developing allocation systems in river recreation settings. Middle Fork Salmon River users were asked to rank and rate allocation systems, evaluation criteria, and rationing techniques. A workshop of 25 individuals spanning the spectrum of river recreation interests was used to develop and narrow down criteria and techniques. A mail questionnaire was then developed and sent to 1451 river users from three user groups: outfitters, nonoutfitters, and individuals rejected in the lottery. Survey results indicate even pool and the current Middle Fork system are the most acceptable rationing techniques. The most acceptable allocation systems were split by the groups favoring their own experiences on the river: outfitters favored reservation systems, nonoutfitters and lottery rejectees favored lottery systems. Recommendations are provided for developing a national allocation policy.",Salmon (Middle Fork),1978,"Recreation use allocation - Proceedings of the national conference on allocation of recreation opportunities on public land between the outfitted and nonoutfitted publics; Reno, NV; ; 60-76 pp.; 1981.",Use allocation,Idaho,2008-04-07,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/13,13,12.pdf,/rrrd/image/12.pdf,pdf,rrrd013.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd013.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd013_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd013_th.jpg
rrrd014,Cooperative research for monitoring recreation use of the Lower Salmon River,,"Rawhouser, D.; Harris, C.; Grussing, L.; Krumpe, E. E.; McLaughlin, W. J.",,1989,Journal Article,application/pdf,rawhouser_etal_1989.pdf,"This study was not only an effort to gather useful, reliable recreational use data on the Lower Salmon River, Idaho, but also to develop a process for cooperative research bridging university and agency arenas. Compound sampling was used combining survey research and unobtrusive, nonparticipant observation to estimate use, observe recreationist behaviors, and gather perceptions and opinions relevant to current and future management actions. Results provide valuable data for future planning efforts and illustrate a beneficial research process to all parties involved.",Salmon (Lower),"1985, 1986",Journal of Park and Recreation Administration; ISSN 0735-1968; Vol 7; Issue 1; 41-57 pp.; 1989.,"Use estimation methods, Survey techniques, Boater characteristics",Idaho,2008-04-07,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/14,14,13.pdf,/rrrd/image/13.pdf,pdf,rrrd014.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd014.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd014_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd014_th.jpg
rrrd015,Preferences of backpackers and river runners for allocation techniques,permit;lottery;queuing;merit;pricing;reservation;allocation system,"Shelby, B.; Danly, M. S.; Gibbs, K. C.; Petersen, M. E.",,1982,Journal Article,application/pdf,shelby_etal_1982.pdf,"Three studies were conducted to investigate the potential consequences of implementing allocation systems to limit use. Hells Canyon on the Snake River, Eagle Cap Wilderness, and Mount Jefferson Wilderness were the three locations used to hand out mail-back questionnaires during the summers of 1978 and 1979. Questionnaires at Hells Canyon were given to river runners and at the wilderness areas were given to backpackers. The allocation systems studied were: Pricing, Advance Reservations, Lottery, Queuing, and Merit. Results indicate a distinct difference in reactions between river runners and backpackers. As well, implementation of allocation systems needs to take into account the user base and characteristics of the site. Overall, this study indicates that Advance Reservations and Pricing systems are viewed most favorably by both user groups.",Snake River (Hells Canyon),1978; 1979,Journal of Forestry; ISSN 0022-1201; Vol 80; Issue 7; 416-419 pp.,"Permit/fee system,Use allocation",Oregon,2008-04-07,2010-05-08,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/15,15,14.pdf,/rrrd/image/14.pdf,pdf,rrrd015.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd015.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd015_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd015_th.jpg
rrrd016,Idealism versus pragmatism in user evaluations of allocation systems,,"Shelby, G.; Whittaker, D.; Danley, M.",,1989,Journal Article,application/pdf,shelby_etal_1989.pdf,"Researchers explored the relationships of idealistic and pragmatic variables leading to a users willingness to try an allocation system. Three variables were hypothesized to be a function of a users willingness to try: perceived chance of success of obtaining a permit, perceived fairness of the system, and acceptability of the system. A path model of these variables was developed and tested using five allocation systems: pricing, reservation, lottery, queuing, and merit. Researchers also tested consistency of user evaluations across the five allocation systems. Results indicate users view allocation systems similarly when evaluating their willingness to try the system. Results also suggest that chance of success is a large factor in a users determination to try a system and their acceptability of a system. However, as the resource becomes scarcer, fairness plays a larger role.",Snake River (Hells Canyon),1978,Leisure Sciences; ISSN 0149-0400; Vol 11; Issue 1; 61-70 pp.; 1989.,"Permit/fee system, Use allocation",Idaho; Oregon,2008-04-07,2010-05-07,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/16,16,15.pdf,/rrrd/image/15.pdf,pdf,rrrd016.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd016.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd016_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd016_th.jpg
rrrd017,Allocation currencies and perceived ability to obtain permits,,"Shelby, B., Whittaker, D., & Danley, M.",,1989,Journal Article,application/pdf,shelby_etal_1989_2.pdf,"This study examined the effects of different allocation currencies on recreationists perceptions of chance of success to obtain a permit. Five allocation systems were used in this study: pricing, reservation, lottery, queuing, and merit. In general, results support hypotheses indicating there are specific currencies that affect recreationists perceptions of obtaining a permit. For some allocation systems, additional currencies to those hypothesized were found to be significant.",Snake River (Hells Canyon),1978,Leisure Sciences; ISSN Leisure Sciences; Vol 11; Issue 2; 137-144 pp.; 1989.,"Permit/fee system, Use allocation",Idaho; Oregon,2008-04-07,2010-05-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/17,17,16.pdf,/rrrd/image/16.pdf,pdf,rrrd017.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd017.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd017_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd017_th.jpg
rrrd018,Comprehensive evaluation of information/education programs to reduce recreation impacts on the Lower Salmon River,,"Harris, C. C.; McLaughlin, W. J.; Rawhouser, D. K.",,1990,Journal Article,application/pdf,harris_etal_1990,,Salmon (Lower),,Journal of Environmental Management; Volume 31; Issue 1; 19-28 pp,Human waste; Public education techniques; Monitoring recreation use/impacts,Idaho,2010-03-12,2010-03-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/18,18,17.pdf,/rrrd/image/17.pdf,pdf,rrrd018.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd018.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd018_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd018_th.jpg
rrrd019,Management problems in river recreation: what river floaters are telling us,,"Knopf, R. C.",,1982,Journal Article,application/pdf,knopf_1982.pdf,,38 rivers,,Naturalist; 12-15 pp,"Crowding, Perception of river flow, User experience, Level of environmental impact, Frameworks for managing recreation",Nationwide,2010-03-12,2010-03-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/rrrd/id/19,19,18.pdf,/rrrd/image/18.pdf,pdf,rrrd019.pdf,https://objects.lib.uidaho.edu/rrrd/rrrd019.pdf,https://objects.lib.uidaho.edu/rrrd/small/rrrd019_sm.jpg,https://objects.lib.uidaho.edu/rrrd/thumbs/rrrd019_th.jpg
