objectid,parentid,title,date,description,category,source,source_page,original_url,type,format,email,filename,display_template,object_location,image_thumb,image_small,notes
president_2025_phoenix,,University of Phoenix Affiliation FAQ,2024-06-27,Web archive capture of UOPX FAQ page as published.,UOPX Memos,,https://www.uidaho.edu/president/university-of-phoenix-affiliation,,Text,text/html,,,record,https://perma.cc/6RQU-S3NS,,,
president_2023_phoenix,,University of Phoenix Affiliation FAQ,2023-04-22,Web archive capture of UOPX FAQ page as published.,UOPX Memos,,https://www.uidaho.edu/president/university-of-phoenix-affiliation,,Text,text/html,,,record,https://perma.cc/W6F8-R8SJ,,,
president_sustainability_2022,,Sustainability Working Group: Sustainable Solutions for our University and our State white paper,2022-08-19,"President Scott Green formed the Sustainability Working Group in Fall 2021 to develop and recommend a strategic approach to enable the University of Idaho to become known for sustainability. To this end, the working group’s output is focused on 1) making a case for sustainability that distinguishes the university from our peers, 2) recommendations for our academic and research programs, 3) recommendations for university operations and facilities, 4) integrating sustainability into the cultural fabric of the university, and 5) establishing governance and program expectations to ensure accountability towards desired progress. These recommendations serve to challenge the university community to execute our strategic desire to be known for sustainability.",Letters and Reports,,https://perma.cc/F5TH-3BFE,,Text,application/pdf,,white_paper_8-19-2022_report_final_vs3.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/white_paper_8-19-2022_report_final_vs3.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/white_paper_8-19-2022_report_final_vs3_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/white_paper_8-19-2022_report_final_vs3_sm.jpg,
president_campaign_2021,,Comprehensive Campaign Working Group white paper,2021-08,The Comprehensive Campaign Working Group is made up of dedicated alumni volunteers and university leaders. This working group has been charged by President Scott Green to position the University of Idaho community to embrace the big ideas behind the capital campaign. The resulting white paper will inform the road map for the capital campaign as we head into the first public phase in the fall of 2021. The white paper will also support development of a university-wide vision for the comprehensive fundraising campaign and identify the resources needed to ensure the campaign’s success.,Letters and Reports,,https://perma.cc/HSC2-G8D7,,Text,application/pdf,,campaign-working-group-white-paper-aug-2021.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/campaign-working-group-white-paper-aug-2021.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/campaign-working-group-white-paper-aug-2021_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/campaign-working-group-white-paper-aug-2021_sm.jpg,
president_online_ed_2020,,Online Education Working Group white paper,2020,"President Green charged the Online Education Working Group to explore the steps needed to build a stronger remote learning infrastructure and enhance our online education offerings. The end result is a white paper with recommendations focused on areas of strength, areas where we need improvement and information with specifics about investments and resources needed for us to improve our online opportunities and curriculum. The white paper will serve as a road map citing unique areas of expertise and opportunity for University of Idaho online curriculum, requirements for best practices to implement online student support services, technology and infrastructure requirements, marketing and strategic positioning tactics and best practices around faculty support and curriculum development.",Letters and Reports,,https://perma.cc/7XHN-ZJ9X,,Text,application/pdf,,online-education-rprt.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/online-education-rprt.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/online-education-rprt_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/online-education-rprt_sm.jpg,
president_financial_2020,,Sustainable Financial Model Working Group,2020-10,,Letters and Reports,,https://perma.cc/K6WZ-JNET,,Text,application/pdf,,sustainable-financial-model-working-group-white-paper-oct-2020.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/sustainable-financial-model-working-group-white-paper-oct-2020.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/sustainable-financial-model-working-group-white-paper-oct-2020_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/sustainable-financial-model-working-group-white-paper-oct-2020_sm.jpg,
president_hybrid_budget_2021,,Vandal Hybrid Budget Model Rollout,2021-03-26,,Presentations,,https://perma.cc/K6WZ-JNET,,Image;MovingImage,video/mp4,,,video,https://youtu.be/oEwfdqQ7pds,,,
president_ra-2026_initiative,,R1-2026 Research Initiative Working Group white paper,2020-11,"The R1-2026 Research Initiative Working Group finalized in 2020 its recommendations to invest in moving the university toward an R1 Carnegie Classification. Those recommendations are outlined in the R1-2026 Research Initiative Working Group Paper and focus on making new investments in postdoctoral scholar and doctoral research support, while working to shift the university’s culture toward one of delivering results and expecting accountability in research and graduate education for all faculty.",Letters and Reports,,https://perma.cc/M8AW-3XBR,,Text,application/pdf,,r1_rsrchworkinggroup_rprt_vs4.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/r1_rsrchworkinggroup_rprt_vs4.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/r1_rsrchworkinggroup_rprt_vs4_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/r1_rsrchworkinggroup_rprt_vs4_sm.jpg,
president_2021_investigation,,Investigation of UI Diversity and Inclusion Initiatives,2021-12-17,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,troxell_diversity-inclusion-investigation.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/troxell_diversity-inclusion-investigation.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/troxell_diversity-inclusion-investigation_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/troxell_diversity-inclusion-investigation_sm.jpg,
president_annual_2016,,Annual Report 2016,2016,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,UI_AnnualReport_16.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/UI_AnnualReport_16.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/UI_AnnualReport_16_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/UI_AnnualReport_16_sm.jpg,
