objectid,parentid,title,presenter,presenter_affiliation,description,conference-year,date,start_time,end_time,duration_minutes,location,session-type,type,format,subject,identifier,display_template,object_location,image_small,image_thumb
sss2026-damron-wallace,,Inclusive Strategies for Neurodivergent Student Success,Cori Damron; Claire Wallace,"Center for Disability, Accessibility & Resources, Dean of Students","This interactive workshop provides faculty and staff with practical strategies to support neurodivergent students and promote academic success and belonging. Participants explore common challenges and learn how intentional adjustments in communication, structure, and expectations can enhance engagement.",2026,2026-02-27,3:15 PM,4:15 PM,60,Panorama,workshop,text,record,neurodivergence;inclusion;accessibility,,session,,,
sss2026-futhey-oswald,,Faculty Partnership with SI-PASS: Opportunities for Active Learning In and Outside the Classroom,Samantha Futhey; Mary Oswald,"Academic Support Programs, SEM; Biological Sciences, College of Science","This interactive workshop explores active learning through Supplemental Instruction-Peer Assisted Study Sessions (SI-PASS), a peer-led program designed to support student success in historically challenging courses. The session provides an overview of the SI-PASS model, faculty partnerships, and program outcomes.",2026,2026-02-27,2:45 PM,3:15 PM,30,Aurora,workshop,text,record,SI-PASS;peer learning;active learning,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/futhey-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/futhey-ppt_th.jpg
sss2026-futhey-oswald-abstract,sss2026-futhey-oswald,Abstract: Faculty Partnerships with SI-PASS: Opportunities for Active Learning In & Outside the Classroom,Samantha Futhey; Mary Oswald,"Academic Support Programs, University of Idaho; Department of Biological Sciences, University of Idaho",,2026,2026-02-27,,,,,abstract,text,application/pdf,active learning;supplemental instruction;SI-PASS;peer assisted study sessions;student engagement;learning strategies,futhey-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/futhey-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/futhey-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/futhey-abs_th.jpg
sss2026-futhey-oswald-slides,sss2026-futhey-oswald,Slides: Faculty Partnerships with SI-PASS: Opportunities for Active Learning In & Outside the Classroom,Samantha Futhey; Mary Oswald,"Academic Support Programs, University of Idaho; Department of Biological Sciences, University of Idaho",,2026,2026-02-27,,,,,slides,text,application/pdf,active learning;supplemental instruction;SI-PASS;peer assisted study sessions;student engagement;learning strategies,futhey-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/futhey-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/futhey-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/futhey-ppt_th.jpg
sss2026-gallery-walk,,"Gallery Walk Workshop: Collectively Offering Student Success Strategies, Concrete Ideas, and Refinement to our Cross-College Colleagues",Katie Schiffelbein; Bobbi Hughes; Gabriel Portniche,"Strategic Program and Student, College of Engineering; Chief Strategic Partnerships Officer, College of Engineering; Associate Dean, College of Engineering","In this interactive session, College of Engineering staff and faculty share student-centered programs that support belonging, success, persistence, and professional skill development. Using a gallery walk format, participants explore these examples and collaboratively share successes, challenges, and ideas for improvement.",2026,2026-02-27,1:00 PM,1:30 PM,30,Aurora,workshop,text,record,engineering;cross-college;belonging,,session,,,
sss2026-gauthier,,Virtual Forests and Their Virtual Ecosystems in Mixed Reality: Experiential Learning in VR/AR,Jean-Marc Gauthier,"Virtual Technology and Design, College of Arts & Architecture","This session demonstrates experiential learning through VR and AR by immersing participants in interactive virtual forest ecosystems. Using VR headsets, connected glasses, and 3D prints, the demonstration showcases learning environments developed for wildland firefighter training in partnership with the Forest Service and the College of Natural Resources.",2026,2026-02-27,1:00 PM,1:30 PM,30,Clearwater,demonstration,text,record,virtual reality(AR); augmented reality (AR);experiential learning,,session,,,
sss2026-kestle-bullers,,Peer Education Programs: The Nexus for Student & Campus Success,Mimi Kestle; Elizabeth Bullers; Amanda Ferstead; Mairen Chard,"International Programs Office, SEM; Outreach, CBE; Health Promotion, Student Health Services; Student Involvement (EcoVandals)","This interactive workshop explores peer education programs as high-impact experiential learning approaches that support student belonging, persistence, and success. The session introduces a draft Peer Education Program Toolkit with shared training resources and assessment tools.",2026,2026-02-27,3:15 PM,4:15 PM,60,Horizon,workshop,text,record,peer education;toolkit;experiential learning,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/kestle-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/kestle-ppt_th.jpg
sss2026-kestle-bullers-abstract,sss2026-kestle-bullers,Abstract: Peer Education Programs: The Nexus for Student & Campus Success,Mimi Kestle; Elizabeth Bullers; Amanda Ferstead; Mairen Chard,"International Programs Office, University of Idaho; Outreach, College of Business & Economics, University of Idaho; Student Involvement, University of Idaho; Recreation and Wellbeing, University of Idaho",,2026,2026-02-27,,,,,abstract,text,application/pdf,peer education;experiential learning;leadership;retention;collaboration,kestle-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/kestle-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/kestle-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/kestle-abs_th.jpg
sss2026-kestle-bullers-slides,sss2026-kestle-bullers,Slides: Peer Education Programs: The Nexus for Student & Campus Success,Mimi Kestle; Elizabeth Bullers; Amanda Ferstead; Mairen Chard,"International Programs Office, University of Idaho; Outreach, College of Business & Economics, University of Idaho; Student Involvement, University of Idaho; Recreation and Wellbeing, University of Idaho",,2026,2026-02-27,,,,,slides,text,application/pdf,peer education;experiential learning;leadership;retention;collaboration,kestle-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/kestle-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/kestle-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/kestle-ppt_th.jpg
sss2026-keynote,,Keynote Panel: Collaborative Strategies for Student Success,Theresa Allen; Ashley Kerr; Markie McBrayer; Kaylena Townsend; Beth Ropski,"Mathematics & Statistical Science, College of Science; School of Global Studies, CLASS; Politics and Philosophy, CLASS; Advising Services, SEM; Center for Excellence in Teaching & Learning","This panel session highlights strategies used by student success professionals to support persistence, belonging, and academic achievement. Panelists discuss how collaboration across teaching, advising, mentoring, and student support roles helps close retention gaps and fosters a holistic approach to student success.",2026,2026-02-27,12:00 PM,12:30 PM,30,Clearwater & Whitewater Room,keynote,text,record,collaboration;persistence;belonging,,session,,,
sss2026-lapaglia-engels,,Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development,Kirsten LaPaglia; Mary Engels,"TRIO-INSPIRE, CEHHS; Natural Resources and Society, College of Natural Resources","This workshop introduces the ARC Principles Framework - Active Learning, Research Engaged, and Communities Focused - as a practical approach to designing and evaluating STEM courses and programs that support student persistence.",2026,2026-02-27,1:30 PM,2:30 PM,60,Clearwater,workshop,text,record,STEM;ARC framework;persistence,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/lapaglia-engels-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/lapaglia-engels-ppt_th.jpg
sss2026-lapaglia-engels-abstract,sss2026-lapaglia-engels,Abstract: Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development,Kirsten LaPaglia; Mary Engels,"INSPIRE Center, CEHHS; Natural Resources and Society, College of Natural Resources",,2026,2026-02-27,,,,,abstract,text,application/pdf,STEM education;principle-focused evaluation;persistence;retention,lapaglia-engels-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/lapaglia-engels-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/lapaglia-engels-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/lapaglia-engels-abs_th.jpg
sss2026-lapaglia-engels-slides,sss2026-lapaglia-engels,Slides: Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development,Kirsten LaPaglia; Mary Engels,"INSPIRE Center, CEHHS; Natural Resources and Society, College of Natural Resources",,2026,2026-02-27,,,,,slides,text,application/pdf,STEM education;principle-focused evaluation;persistence;retention,lapaglia-engels-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/lapaglia-engels-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/lapaglia-engels-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/lapaglia-engels-ppt_th.jpg
sss2026-martin-kidder,,"Many Nations, One Family: Centering Community and Culture for Success",Steven Martin; Dakota Kidder,"Tribal Nations Student Affairs, Office of Tribal Relations","The Office of Tribal Nations Student Affairs presents an overview of its history and evolution, highlighting recruitment, retention, and programming that support Native American students at the University of Idaho. The session examines how cultural knowledge and tribal identities foster belonging.",2026,2026-02-27,2:00 PM,2:30 PM,30,Horizon,presentation,text,record,tribal nations;belonging;culture,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/martin-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/martin-ppt_th.jpg
sss2026-martin-kidder-abstract,sss2026-martin-kidder,"Abstract: Many Nations, One Family: Centering Community and Culture of Success",Steven Martin; Dakota Kidder,"Tribal Nations Student Affairs, University of Idaho",,2026,2026-02-27,,,,,abstract,text,application/pdf,Native American student success;recruitment and retention;culturally responsive programming;belonging;tribal identity,martin-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/martin-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/martin-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/martin-abs_th.jpg
sss2026-martin-kidder-slides,sss2026-martin-kidder,"Slides: Many Nations, One Family: Centering Community and Culture of Success",Steven Martin; Dakota Kidder,"Tribal Nations Student Affairs, University of Idaho",,2026,2026-02-27,,,,,slides,text,application/pdf,Native American student success;recruitment and retention;culturally responsive programming;belonging;tribal identity,martin-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/martin-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/martin-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/martin-ppt_th.jpg
sss2026-perry-and-akervall,,Why Write? Teaching People in the Age of AI,Emma Catherine Perry; Miriam Åkervall,"Writing Center, English Department, CLASS; Writing Center, English Department, CLASS","This session examines the impact of generative AI on writing in postsecondary education and reaffirms writing's central role in student learning, achievement, and critical thinking. Participants explore the value of writing for learning within their disciplines and design ready-to-implement writing activities.",2026,2026-02-27,1:30 PM,2:30 PM,60,Crest,workshop,text,record,writing;AI;critical thinking,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/perry-and-akervall_abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/perry-and-akervall_abs_th.jpg
sss2026-perry-and-akervall-abstract,sss2026-perry-and-akervall,Abstract: Why Write? Teaching People in the Age of AI,Emma Catherine Perry; Miriam Åkervall,University of Idaho Writing Center,,2026,2026-02-27,,,,,abstract,text,application/pdf,writing;peer tutoring;efficacy;rhetoric;ethical AI;AI refusal;writing-to-learn,perry-and-akervall_abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/perry-and-akervall_abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/perry-and-akervall_abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/perry-and-akervall_abs_th.jpg
sss2026-perry-and-akervall-slides,sss2026-perry-and-akervall,Slides: Why Write? Teaching People in the Age of AI,Emma Catherine Perry; Miriam Åkervall,University of Idaho Writing Center,,2026,2026-02-27,,,,,slides,text,application/pdf,writing;peer tutoring;efficacy;rhetoric;ethical AI;AI refusal;writing-to-learn,perry-and-akervall-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/perry-and-akervall-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/perry-and-akervall_ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/perry-and-akervall_ppt_th.jpg
sss2026-program,,2026 Student Success Symposium Program: Ignite and Elevate,Student Success Symposium Planning Committee,"Center for Excellence in Teaching & Learning, University of Idaho","Official program for the 2026 University of Idaho Student Success Symposium, featuring the full schedule, session descriptions, and planning committee. Theme: Ignite and Elevate: Teaching for Student Persistence.",2026,2026-02-27,11:30 AM,4:30 PM,300,Idaho Student Union Building,program,text,application/pdf,student success;persistence;higher education;teaching and learning,2026program,pdf,https://objects.lib.uidaho.edu/student-success-symposium/2026program.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/2026program_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/2026program_th.jpg
sss2026-rowley,,High-Intensity and Independent Laboratory Research to Enhance Undergraduate Student Engagement and Success,Paul Rowley,"Biological Sciences, College of Science","This session outlines the history of undergraduate research productivity in lab-based biological sciences, highlighting student successes and evidence of productivity gains through independent research experiences. It also addresses challenges related to cohort management, future program development, and the integration of AI.",2026,2026-02-27,2:45 PM,3:15 PM,30,Crest,presentation,text,record,undergraduate research;biology;mentorship,,session,,,
sss2026-townsend,,Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence,Kaylena Townsend,"Advising Services, SEM","This interactive session examines how students interpret everyday experiences and feedback as evidence of their abilities and potential. It explores how faculty, staff, and campus partners can intentionally shape classroom interactions, advising conversations, policies, and informal moments to support growth-minded perspectives and student persistence.",2026,2026-02-27,1:00 PM,1:30 PM,30,Panorama,presentation,text,record,advising;growth mindset;persistence,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/townsend-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/townsend-ppt_th.jpg
sss2026-townsend-abstract,sss2026-townsend,Abstract: Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence,Kaylena Townsend,"Advising Services, University of Idaho",,2026,2026-02-27,,,,,abstract,text,application/pdf,micro-messaging;perceived academic control;growth mindset;appreciative advising,townsend-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/townsend-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/townsend-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/townsend-abs_th.jpg
sss2026-townsend-slides,sss2026-townsend,Slides: Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence,Kaylena Townsend,"Advising Services, University of Idaho",,2026,2026-02-27,,,,,slides,text,application/pdf,micro-messaging;perceived academic control;growth mindset;appreciative advising,townsend-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/townsend-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/townsend-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/townsend-ppt_th.jpg
sss2026-voss-gash-hoene,,The Why of Accommodations: Case Studies,Cory Voss; Katelyn Gash; Jeneba Hoene,"Center for Disability, Accessibility & Resources, Dean of Students","This interactive session uses real case studies to explore the purpose and practice of disability-related accommodations and how they support student success. Participants examine instructional barriers, distinguish essential requirements from flexible practices, and learn how Universal Design for Learning strategies can reduce the need for reactive accommodations.",2026,2026-02-27,1:30 PM,2:30 PM,60,Panorama,workshop,text,record,accommodations;UDL;accessibility,,session,,https://objects.lib.uidaho.edu/student-success-symposium/small/voss-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/voss-ppt_th.jpg
sss2026-voss-gash-hoene-abstract,sss2026-voss-gash-hoene,Abstract: The 'Why' of Accommodations with Case Studies,Cory Voss,"Center for Disability Access and Resources, University of Idaho",,2026,2026-02-27,,,,,abstract,text,application/pdf,disability accommodations;ADA;Section 504;Universal Design for Learning;UDL;academic integrity;accessibility;faculty development;case studies,voss-abs,pdf,https://objects.lib.uidaho.edu/student-success-symposium/voss-abs.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/voss-abs_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/voss-abs_th.jpg
sss2026-voss-gash-hoene-slides,sss2026-voss-gash-hoene,Slides: The 'Why' of Accommodations with Case Studies,Cory Voss; Katelyn Gash; Jeneba Hoene,"Center for Disability Access and Resources, University of Idaho; Dean of Students, University of Idaho",,2026,2026-02-27,,,,,slides,text,application/pdf,disability accommodations;ADA;Section 504;Universal Design for Learning;UDL;academic integrity;accessibility;faculty development;case studies,voss-ppt,pdf,https://objects.lib.uidaho.edu/student-success-symposium/voss-ppt.pdf,https://objects.lib.uidaho.edu/student-success-symposium/small/voss-ppt_sm.jpg,https://objects.lib.uidaho.edu/student-success-symposium/thumbs/voss-ppt_th.jpg
sss2026-waynant,,How to Create a Positive Undergraduate Research Environment,Kristopher Waynant,"Office of Undergraduate Research; Chemistry, College of Science","This 60-minute workshop presents best practices for mentoring and engaging undergraduates in research at a research-intensive university. The session covers designing feasible projects, setting expectations, managing time and safety, and clarifying roles within research teams.",2026,2026-02-27,3:15 PM,4:15 PM,60,Crest,workshop,text,record,undergraduate research;mentorship;best practices,,session,,,
sss2026-ziegler,,Nurturing Academic Hope: Increasing Student Success Through an Active Framework of Hope,Amber Ziegler,"Advising Services, SEM","Hope is often thought of as a passive wish. Psychological and student development research give us an alternative framing of hope as an active concept, incorporating intention, reflection, and practice. This workshop introduces the framework of academic hope, explores its components, and inspires ideas for supporting students.",2026,2026-02-27,2:45 PM,3:15 PM,30,Panorama,workshop,text,record,academic hope;well-being;persistence,,session,,,
