objectid,title,date,description,editors,contributors,publisher,source,format,type,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
blot_2010-10,Blot Magazine October 2010,2010-10,Traditions with tubas; Iraq to Idaho; Funky flushes; Ghostly grounds; Life after MTV's 'Made'; Making music on the streets,"Rudd, Elizabeth; Short, Lisa; Morris, Loren; Moseley, Kelcie; Groff, Nick; McCord, Madison","Rinas, Rhiannon; Saia, Anthony; Taylor, Robert J.; Barber, Jack; Devine, Steven; Olson, Jens; Worrell, Avery",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2010-10.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2010-10.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2010-10_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2010-10_th.jpg
blot_2010-11,Blot Magazine November 2010,2010-11,"Fine'ly famous; More than just music; Torn: Native American Vandals; Picking is 'Delicious'; The face of Idaho; An artist's game; Leaving the field, Entering the courtroom","Rudd, Elizabeth; Short, Lisa; Morris, Loren; Moseley, Kelcie; Groff, Nick; McCord, Madison","Hadley, Kelli; Rinas, Rhiannon; Saia, Anthony; Sakai, Sarah; Whitney, Kristen; Barber, Jake; Canul, Amrah; Brown, Katherine; Olson, Jens; Worrell, Avery",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2010-11.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2010-11.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2010-11_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2010-11_th.jpg
blot_2011-02,Blot Magazine February 2011,2011-02,Decades of Idaho; Help for teacher; The making of a cheater; Modern treasure hunt; Taming the fear; Shots for silver and gold; Beyond the board game,"Rudd, Elizabeth; Short, Lisa; Morris, Loren; Moseley, Kelcie; Groff, Nick; McCord, Madison","Hadley, Kelli; Hart, Vicky; Spencer, Molly; Whitney, Kristen; Barber, Jake; Brown, Katherine; Canul, Amrah; Olson, Jens; Worrell, Avery",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2011-02.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2011-02.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2011-02_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2011-02_th.jpg
blot_2011-04,Blot Magazine April 2011,2011-04,"Defining your 'extreme'; Big job, bigger heart; The path unknown; A passion for dance; The view from behind the bar; Palouse platters: Vandal meats and Cougar gold","Rudd, Elizabeth; Short, Lisa; Morris, Loren; Moseley, Kelcie; Groff, Nick; McCord, Madison","Hart, Vicky; Rinas, Rhiannon; Spencer, Molly; Barber, Jake; Brown, Katherine; Canul, Amrah; Devine, Steven; Olson, Jens; Worrell, Avery",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2011-04.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2011-04.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2011-04_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2011-04_th.jpg
blot_2011-10,Blot Magazine October 2011,2011-10,"The good old days; Time machine Moscow: everything and more at Russ's Store; True traditions never die; Wheatland revolution; Fatherhood: The next step; A little techno, a little twang; A day in the life; The best barber in town; Equipment innovation","McCord, Madison; Hart, Vicky; Morris, Loren; Canul, Amrah; Moseley, Kelcie; Saia, Anthony","Sundali, Anja; Brown, Dylan; Eiguren, Elisa; Gregg, Michelle; Spencer, Molly; Lawson, Theo; Aguirre, Alex; Brown, Katherine; Vukelich, Philip; Devine, Steven; Edwards, Zach; Worrel, Avery, Ellsworth, Kim",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2011-10.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2011-10.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2011-10_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2011-10_th.jpg
blot_2011-11,Blot Magazine November 2011,2011-11,"Get out & get going; Romance in falling stars; Floats like a rock; Time machine 1909: travel diaries of Lucille Sayre Allen; One city's trash, one man's treasure; Finally a bird; Sports science; Go back to start","McCord, Madison; Hart, Vicky; Morris, Loren; Canul, Amrah; Moseley, Kelcie; Saia, Anthony","Sundali, Anja; Eiguren, Elisa; Rudd, Elizabeth; Kiser, Britt; Bingham, Tanya; Lawson, Theo; Vukelich, Philip; Edwards, Zach; Worrell, Avery; Ellsworth, Kim",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2011-11.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2011-11.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2011-11_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2011-11_th.jpg
blot_2012-03,Blot Magazine March 2012,2012-03,"""Humer""us; Body talk through the ages; More than just kicks; Please, touch the art; Suck it: journey to the center; Psychology of sex; Breathe it forward; Despair, amputated; Big wigs ","McCord, Madison; Hard, Vicky; Morris, Loren; Canul, Amrah; Eiguren, Elisa; Saia, Anthony","Kiser, Britt; Brown, Dylan; Engle, Joseph; Krasselt, Kaitlyn; Sword, Katy; Treffry, Lindsay; Spencer, Molly; Kramer, Sean; Aguirre, Alex; Vukelich, Philip; Edwards, Zach; Worrell, Avery; Ellsworth, Kim",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2012-03.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2012-03.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2012-03_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2012-03_th.jpg
blot_2012-04,Blot Magazine April 2012,2012-04,A passion for beauty; Stuck on you; Build a brew workshop; Half-ass clone not half-assed; Stuff it; Love at first bite; Turn it up; Home sweet home; Extreme chef: dorm edition; What to do when where to go is gone,"McCord, Madison; Hard, Vicky; Morris, Loren; Canul, Amrah; Eiguren, Elisa; Saia, Anthony","Brown, Dylan; Sonnen, John; Engle, Joseph; Krasselt, Kaitlyn; Sword, Katy; Treffry, Lindsay; Kramer, Sean; Aguirre, Alex; Hart, Jesse; Marcolina, Tony; Vukelich, Philip; Worrell, Avery; Kimberling, Ethan",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2012-04.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2012-04.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2012-04_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2012-04_th.jpg
blot_2012-10,Blot Magazine October 2012,2012-10,Food for thought; Mix and match; Dishing up dining stereotypes; What's on tap; Clean or crazy?; Eating Greek in Moscow; For the loaf of bread; Think outside the bottle; A friendly face; Smells like team spirit; Fueling the 'Fat Five'; Ruthie in the kitchen,"Hard, Victoria; McCord, Madison; Engle, Joseph; Worrell, Avery; Vukelich, Philip; Eiguren, Elisa; Krasselt, Kaitlyn; Spencer, Molly","Kiser, Britt; Krasselt, Kaitlyn; Sword, Katy; Treffry, Lindsey; Lawson, Theo; Christensen, Kasen; Eiguren, Elisa; Hart, Jesse; Canul, Amrah; Marcolina, Tony; Leitholt, Matt; Kimberling, Ethan; Derry, Rebecca",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2012-10.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2012-10.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2012-10_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2012-10_th.jpg
blot_2012-12,Blot Magazine December 2012,2012-12,Made to last; Déjà vu; Countdown to calamity; Keeping the voices out; What are the odds; The last day; But what if it really happened; Surviving death; Tipping the scales; Zombies on the brain; What's your #YOLO,"Hart, Victoria; McCord,  Madison; Worrell, Avery; Vukelich, Philip; Eiguren, Elisa; Krasselt, Kaitlyn","Rambo, Chloe; Roetker, Erin; McCord, Madison; Canul, Amrah; Hart, Victoria; Moroney, Kaitlin; Treffry, Lindsey; Kimberling, Ethan; Eiguren, Elisa; Hart, Jesse; Canul, Amrah; Vukelich, Philip; Crosby, Hayden; Derry, Rebecca; Kimberling, Ethan",University of Idaho Student Media,"Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",application/pdf,Text,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Blot Magazine, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media",http://rightsstatements.org/vocab/InC-EDU/1.0/,blot_2012-12.pdf,pdf,https://objects.lib.uidaho.edu/blot/blot_2012-12.pdf,https://objects.lib.uidaho.edu/blot/small/blot_2012-12_sm.jpg,https://objects.lib.uidaho.edu/blot/thumbs/blot_2012-12_th.jpg
