objectid,filename,title,date,concert_dates,item_type,description,artistic_directors,guest_scholar,performers,location,idaho_county,source,type,format,language,rights,rights_standardized,display_template,object_location,image_small,image_thumb
idaho-bach-festival-06,idaho-bach-festival-06.pdf,6th Annual Idaho Bach Festival,2017,"January 12-14, 2017",Program,,Miranda Wilson; Christopher Pfund,"Lucas Harris (lute, theorbo)",,Idaho Commons Rotunda; Haddock Performance Hall; First Presbyterian Church,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-06.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-06_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-06_th.jpg
idaho-bach-festival-07-poster,idaho-bach-festival-07-poster.pdf,7th Annual Idaho Bach Festival [poster],2018,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-07-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-07-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-07-poster_th.jpg
idaho-bach-festival-07,idaho-bach-festival-07.pdf,7th Annual Idaho Bach Festival,2018,"January 16-19, 2018",Program,,Miranda Wilson; Christopher Pfund,,,Idaho Commons Rotunda; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-07.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-07_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-07_th.jpg
idaho-bach-festival-08-poster,idaho-bach-festival-08-poster.pdf,8th Annual Idaho Bach Festival [poster],2018,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-08-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-08-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-08-poster_th.jpg
idaho-bach-festival-08,idaho-bach-festival-08.pdf,8th Annual Idaho Bach Festival,2018,"October 22-26, 2018",Program,,Miranda Wilson; Christopher Pfund,,,Administration Auditorium; Lionel Hampton School of Music; Haddock Performance Hall; Idaho Commons Rotunda,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-08.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-08_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-08_th.jpg
idaho-bach-festival-09,idaho-bach-festival-09.pdf,9th Annual Idaho Bach Festival,2019,"October 28-30, 2019",Program,,Miranda Wilson; Christopher Pfund; Lynette Pfund,,,Administration Auditorium; Haddock Performance Hall; Idaho Commons Rotunda,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-09.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-09_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-09_th.jpg
idaho-bach-festival-10,idaho-bach-festival-10.pdf,Idaho Bach Festival,2020,"October 26-28, 2020",Program,,Miranda Wilson; Christopher Pfund,Raymon Erickson,,Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-10.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-10_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-10_th.jpg
idaho-bach-festival-11-poster,idaho-bach-festival-11-poster.pdf,11th Annual Idaho Bach Festival [poster],2021,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11-poster_th.jpg
idaho-bach-festival-11-presentation,idaho-bach-festival-11-presentation.pdf,The Idaho Bach Festival... 10 Years On,2021-10-26,,Presentation,Slides from a Malcolm M. Renfrew Interdisciplinary Colloquium presentation.,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11-presentation.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11-presentation_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11-presentation_th.jpg
idaho-bach-festival-11,idaho-bach-festival-11.pdf,11th Annual Idaho Bach Festival,2021,"October 25-27, 2021",Program,,Miranda Wilson; Christopher Pfund; Lynette Pfund,,,Administration Auditorium; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11_th.jpg
idaho-bach-festival-2025,idaho-bach-festival-2025.pdf,2025 Idaho Bach Festival,2025,"October 22, 2025",Program,,Miranda Wilson,,,Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-2025.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-2025_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-2025_th.jpg
