title,description,image,link
Engineering Design EXPO Posters,Student posters from the annual Engineering Design EXPO.,https://objects.lib.uidaho.edu/engrir/small/2304_ab_1075914198_dsc00062_sm.jpg,/expo-posters.html
Idaho Asphalt Conference Programs,Programs from the annual Idaho Asphalt Conference.,https://objects.lib.uidaho.edu/engrir/idaho-asphalt.png,/iac-programs.html
Departmental Newsletters,Newsletters from College of Engineering departments.,https://objects.lib.uidaho.edu/engrir/small/fy22_785124699_mh02_0028_sm.jpg,/newsletters.html
