objectid,title,editors,creator,issue_number,date,subject,publisher,identifier,type,format,rights,rightsstatement,language,digital specifications,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb
fugue-1990-n1,"Fugue - Fall/Winter 1990 (Vol. 1, No. 1)","Hendee, J.C.; Reed, Leiloni; Hendee, Barb; McFarland, Ron","Fugue Staff; Kuene, Pamela J.; Young, Trent; Perison, Mark; Studebaker, William; Rogge, Dwayne; Streib, Tasche; Castagne, Leah K.; Meldazis, Dan; Huett, Mary; Drake, Tom; McFarland, Ron; McLaughlin, J. P.; Carter, Janet; Hendee, J.C.; Jack, Judy; Connell, Mac; Theresa, Mac; Rucker, Christi; Greenwood, Paul; Stoffel, Alisa",1,1990,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1990_N1,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/52,52,pdf,fugue-1990-n1.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1990-n1.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1990-n1_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1990-n1_th.jpg
fugue-1991-n2-2,"Fugue - Summer 1991 (Vol. 2, No. 2)","Hendee, J.C.; Reed, Leiloni; Huett, Mary; Breen, Kris; Rucker, Christi; McFarland, Ron","Mackey, Serena Poovey; McFarland, Ron; Platts, Seth; Streib, Tasche; Rucker, Christi; Baumgartner, Susan; Hendee, Barb; Amex, John Edward; Hendee, J.C.; Clare, John; Fugue Staff",2-2,1991-07-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1991_N2_2,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/105,105,pdf,fugue-1991-n2-2.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1991-n2-2.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1991-n2-2_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1991-n2-2_th.jpg
fugue-1991-n2-1,"Fugue - Spring 1991 (Vol. 2, No. 1)","Reed, Leiloni; Hendee, J.C.; Heuett, Mary; Rucker, Chris; Breen, Kris; McFarland, Ron","Carpenter, John; Lindholdt, Paul; Hendee, J.C.; Levy, Lex; Baldwin, Barbara; Sprenke, Jonathan; Wright, Rich; Porter, Doug; Williams, Holly C.; Peirson, Mark; Jack, Judy; Carter, Janet; Larson, Jacqueline; Hunter, Donnell; Horton, Marian McDonnell; Drake, Tom; Borgman, Tricia",2-1,1991-03-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1991_N2_1,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/211,211,pdf,fugue-1991-n2-1.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1991-n2-1.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1991-n2-1_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1991-n2-1_th.jpg
fugue-1991-n4,Fugue - Fall/Winter 1991 (No. 4),"Reed, Leiloni; Hendee, J.C.; Heuett, Mary; Rucker, Chris; Breen, Kris; Wright, Rich; Drake, Tom; McFarland, Ron","Fugue Staff; Shea, Joseph M.; Parisot, Peter; Chillemi-Yeager, Pam; Sutherland, David Hunter; Gray, Nowick; Cording, H.J.; Risk, Kellie Jo; Wright, Rich; Haarsager, Sandra; Olsen, Lance; French, Teresa A.; Wackett, Jim; Stuart, Kiel; Dumars, Denise; Skinner, Brian",4,1991-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1991_N4,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/264,264,pdf,fugue-1991-n4.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1991-n4.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1991-n4_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1991-n4_th.jpg
fugue-1992-n6,Fugue -Fall/Winter 1992 (No. 6),"Hendee, J.C.; Nelson, Torr; Brennan, Robb; Shadwick, Stacey; Peterson, Eric; Drake, Tom; Maggi, Maria; Hendee, Barb; McFarland, Ron","Fugue Staff; McFarland, Ron; Sanchez, Ricardo; Coen, Mark K.; Studebaker, William; Foye, June E.; Blair, Samuel; French, Teresa A.; Green, Scott E.; Maggi, Maria Theresa; Petoskey, Barbara J.; Adams, Rich; Miller, Errol; Nelson, C. Torr; Arnzen, Michael A.; Eirish, L.",6,1992-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1992_N6,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/317,317,pdf,fugue-1992-n6.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1992-n6.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1992-n6_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1992-n6_th.jpg
fugue-1994-n9,Fugue -Spring/Summer 1994 (No. 9),"Coen, Mark; Rhodes, Donna; Bandurraga, Abigail; Noonan, Wendy; Hatch, Karney; McCelland, Jeff; Jost, Amy; McFarland, Ron","Fugue Staff; McFarland, Ron; Myer, Jack; Berlatsky, Noah; Mikoley, Jim; What, Leslie; Flagg, Edward; Held, Dennis; Wallick, V.Q.; Nelson, Amy; Khaiya, Mahdy Y.; Spitter, Jeff; Day, Holly; Rhodes, Donna; Taylor, Nancy Ellis; Miller, Errol; Johnson, Edward; Huffman, Sara",9,1994-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1994_N9,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/370,370,pdf,fugue-1994-n9.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1994-n9.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1994-n9_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1994-n9_th.jpg
fugue-1994-n10,Fugue -Fall/Winter 1994 (No. 10),"Coen, Mark; Rhodes, Donna; Bandurraga, Abigail; Noonan, Wendy; Hatch, Karney; McCelland, Jeff; Jost, Amy; McFarland, Ron","Fugue Staff; Olsen, Lance; Acker, Kathy; Zandri, Vincent; Deiker, Tom; Tienda, Edward G.; Kelsheimer, Kim; Daniels, Keith Allen; Dodge, Trevor; Whitehouse, Lisa; Killen, Timothy Blair; Stewart, W. Gregory; Lunde, David",10,1994-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1994_N10,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/419,419,pdf,fugue-1994-n10.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1994-n10.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1994-n10_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1994-n10_th.jpg
fugue-1992-n5,Fugue -Spring/Summer 1992 (No. 5),"Reed, Leiloni; Heuett, Mary; Drake, Tom; Lewandowska, Laura; Wright, Rich; Brennan, Robb; TerHark, Dave; Carter, Janet; Hendee, Barb; McFarland, Ron; Hendee, J.C.","Fugue Staff; Taylor, Sean Morris; Rich, Julie; Thomas, Don; Lindholdt, Paul; Drake, Tom; Wright, Fay; Boyd, Jennifer; Rhodes, Donna; Haarsager, Sandra; Hallen, Melinda; Henkel, William B.; MacConnell, Lara Therese; Naff, Monza; Burczynski, Michael E.; Platts, Seth; Gray, Nowick; Powell, Daniel D.; Jessen, Taylor",5,1992-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1992_N5,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/472,472,pdf,fugue-1992-n5.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1992-n5.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1992-n5_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1992-n5_th.jpg
fugue-1993-n8,Fugue -Fall/Winter 1993 (No. 8),"Hendee, J.C.; Nelson, Torr; Brennan, Robb; Shadwick, Stacey; Peterson, Eric; Drake, Tom; Maggi, Maria; Hendee, Barb; McFarland, Ron","Fugue Staff; Wiginton, Ron; Eisenberg, Barry S.; Sharenov, Evelyn; Eldritch, Michael; Pruitt, Gladys; Blair, Samuel; Hood, Charles; Bovier, Constance Joan; Dale, Karen; Wilson, Scott ; Farnsworth, Chris; Richard Paul Schmonsees; Arnzen, Michael A.",8,1993,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1993_N8,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/525,525,pdf,fugue-1993-n8.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1993-n8.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1993-n8_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1993-n8_th.jpg
fugue-1995-n11,Fugue -Spring/Summer 1995 (No. 11),"Isaacson, Eric; Maggi, Maria; Dodge, Trevor; Harvey, Leann; Hatch, Karney Talbott; Kelsheimer, Kimberli; Miller, Chris; Neurater, Michele; Noonan, Wendy; Olsen, Lance; Hendee, J.C.; Miller, Chris","Fugue Staff; Taurisano, Marc Philip; Nadeau, Mark; Richard Paul Schmonsees; McFarland, Michael James; Trotter, Tristan; Macvie, Meagan; Owens, James; King, Robert S.; Seubert, Curt; Andersen, Kenneth C.; Bell, Cindy; Meyer Jr., William",11,1995-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1995_N11,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/573,573,pdf,fugue-1995-n11.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1995-n11.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1995-n11_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1995-n11_th.jpg
