objectid,title,editors,creator,issue_number,date,subject,publisher,identifier,type,format,rights,rightsstatement,language,digital specifications,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb
fugue-1996-n13,Fugue -Spring/Summer 1996 (No. 13),"Isaacson, Eric; b, abbey; Baldwin, Mathew; Dodge, Trevor; Erickson, Scott; Groom, Pam; Hall, Brandon; Long, Shane; Mayer, Mark; McFarland, Jennifer L.; Peite, Lisa Marie; Phillips, Adam; Rider, Shawn; Smith, Catherine Nelson; Trotter, Tristan; Olsen, Lance; May, Erin","Fugue Staff; Hillman, Brenda; Odishoo, Sarah A.; Blew, Mary Clearman; Olsen, Andi & Lance; Hatch, Karney; Hall, Brandon; Passanante, Joy; Sipp, Aloysha; O'Connell, Joseph M.; Harris, Gregory Seth; Hoeppner, Edward Haworth; Alatee, R. E.; Daubs, J. Robert; Gardiner, Jim",13,1996-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1996_N13,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/682,682,pdf,fugue-1996-n13.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1996-n13.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1996-n13_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1996-n13_th.jpg
fugue-1995-n12,Fugue -Fall/Winter 1995 (No. 12),"Isaacson, Eric P.; Dodge, Trevor; Erickson, Scott; Forster, Kate; Hatch, Karney; Jost, Aimee; Manion, Audra; McFarland, Jennifer; Meyer, Mark; Neurauter, Michele; Peite, Lisa; Olsen, Lance; Hendee, J.C.; Stout, Greg","Fugue Staff; Wiginton, Ron; Eisenberg, Barry S.; Sharenov, Evelyn; Eldritch, Michael; Pruitt, Gladys; Blair, Samuel; Hood, Charles; Bovier, Constance Joan; Dale, Karen; Wilson, Scott ; Farnsworth, Chris; Richard Paul Schmonsees; Arnzen, Michael A.",12,1995-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1993_N8,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/731,731,pdf,fugue-1995-n12.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1995-n12.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1995-n12_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1995-n12_th.jpg
fugue-2001-n21,Fugue -Summer 2001 (No. 21),"Mason, Andrea; Wahl, Eric; Saunders, Alletha; Bissegger, Tabetha; Boydell, Heather; Deming, Mark; Jones, Darlene; McEachern; Rash, Vasco; Reidelbach, Holly; Rigsby, Christin; Sullivan, Matthew; Vadnais, Matthew; White, Eris; Wichlacz, Sarah; McFarland, Ron","Fugue Staff; Mason, Andrea; Thon, Melanie Rae; Blackburn, Matt; Wrigley, Robert; Hudson, Mary Ann; Roe, Eric; Hill, David; Swenson, Karen; Bloom, Rachel Squires; Brewer, Gaylord; Saunders, Alletha; Van Cleave, Ryan G.; Meirose, Jim; Suarez, Virgil",21,2001-06-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue2001_N21,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/824,824,pdf,fugue-2001-n21.pdf,https://objects.lib.uidaho.edu/fugue/fugue-2001-n21.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-2001-n21_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2001-n21_th.jpg
fugue-2001-n22,Fugue -Fall 2001 (No. 22),"McEachern, Scott; Vadnais, Matthew; Hudson, Mary Ann; Cockeram, Paul; Hirt, Jennifer; Noland, Taya; Birrer, Jessamyn; Montgomery, Melissa; Drumps, Molly; Jones, Darlene; Stanton, Aaron; Wichlacz, Sarah; McFarland, Ron","Fugue Staff; McEachern, Scott; Winters, Mary; Stewart, Barbara; Bahr, Jeffery; Files, Meg; Danihy, Geary; Dianna Henning; Grinwis, James; McGookey, Kathleen; Tiffany, Georgia; Farnan, Christiane; Baxter, Charles; Clark, Brian Charles; Gottschalk, Bradford; Cook, Rob; Curry, David; Wrigley, Robert; Sadler, Lynn Veach; Pfoutz, Sally; Kostelanetz, Richard",22,2001-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue2001_N22,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/943,943,pdf,fugue-2001-n22.pdf,https://objects.lib.uidaho.edu/fugue/fugue-2001-n22.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-2001-n22_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2001-n22_th.jpg
fugue-2002-n23,Fugue Spring 2002 (No. 23),"McEachern, Scott; Vadnais, Matthew; Hudson, Mary Ann; Cockeram, Paul; Hirt, Jennifer; Noland, Taya; Birrer/Schnackenberg, Jessamyn; Montgomery, Melissa; Jones, Darlene; Stanton, Aaron; Lenox, Stephanie; Myers, Ryan; Rigsby, Kristin; Wichlacz, Sarah; McFarland, Ron","Fugue Staff; McEachern, Scott; Vadnais, Matthew; Hudson, Mary Ann; Bennett, John; Drugay, Andrea ; Seagle, Gregory; Olsen, Erica; Rice, Oliver; Kerr, Darren; Dickerson, Sarah; Spraker, Suzy; Bentley, Richard; Tolbert, Victoria; Parker, Amy Eleanor; Monson, Ander ; Tabasso, Gina; Horlick, Christian; Yenser, Pamela; Wheale, Ellen; Triolo, Tora; Schorb, E. M.; Walther, Margaret; Lovelace, Sean; Thomas, Elizabeth B.; Oates, Nathan; Hayes, Terrance",23,2002-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue2002_N23,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1070,1070,pdf,fugue-2002-n23.pdf,https://objects.lib.uidaho.edu/fugue/fugue-2002-n23.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-2002-n23_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2002-n23_th.jpg
fugue-1999-n18,Fugue -Spring/Summer 1999 (No. 18),"Albbertson, Nichole; Barnes, Savannah; Bissegger, Tabetha; Monahan, Kate; Placer, Jose Sanchez; Glick, Tim; Kaminsky, Stephen; Koch, Brenda; Leitz, Eric; May, James; Rider, Shawn; Wichlacz, Sarah; McFarland, Ron","Fugue Staff; Fugue Staff; Suarez, Virgil; Mayo, James; Piper, Paul S.; Steed, J. P.; Tiffany, Georgia; Ralph Robert Moore; Peterson, Allan; Radacsi, Geri; Harrison, Trey; Knorr, Jeff; Bunch, Richard Alan; Starkey, David; Lefcowitz, Barbara F.; Varley, Jane; Emmons, Jeanne; McFarland, Ron; Olds, Sharon",18,1999-05-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1999_N18,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1183,1183,pdf,fugue-1999-n18.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1999-n18.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1999-n18_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1999-n18_th.jpg
fugue-2000-n20,Fugue -Fall 2000 (No. 20),"Mason, Andrea; McFarland, Ron; Saunders, Alletha; Wahl, Eric; Renick, Christie; Deming, Mark; Flowers, Corinne; Hunsaker, Morgan; Jones, Darlene; Kaminsky, Steve; Karoses, Clark; Riedelbach, Holly; Rigsby, Christian; Sullivan, Matthew; Von Mende, Hita; Craine, Kit; Clark, Brian","Fugue Staff; McFarland, Ron; Brisson, Christopher; Chilson, Peter; Gramann, James; Sullivan, Matthew; Major, Ray; Sanchez, Sonia; Flowers, Corinne; Gillespie, Deborah; Morris, Mildred; Golden, Gail Kadison; Zande, Jeff Vande; Bridgford, Kim; May, Dan; Clark, Brian Charles",20,2000-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue2000_N20,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1304,1304,pdf,fugue-2000-n20.pdf,https://objects.lib.uidaho.edu/fugue/fugue-2000-n20.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-2000-n20_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2000-n20_th.jpg
fugue-1997-n16,Fugue -Winter/Fall 1997 (No. 16),"Koch, Brenda; Mayo, James; McFarland, Jennifer L.; McVie, Meagan; Smith, Diana; Baldwin, Matthew; Hall, Brandon; Lambing, Shane; Larson, Caitlin A.; Rider, Shawn; Thomas, Trish; Isaacson, Eric P.; Witt, Ryan; Craine, Kit; Smother, Mel; McFarland, Ron","Fugue Staff; Fugue Staff; Dunn, Stephen; McClanahan, Ed; Sallis, James; Goldman, Paula; Kimble, Jason; Kimble, Jim; Hersh, Marcus; Schleiner, Louise; Dembling, Sophia; James, David; Doud, Sally",16,1997-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1997_N16,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1391,1391,pdf,fugue-1997-n16.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1997-n16.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1997-n16_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1997-n16_th.jpg
fugue-1998-n17,Fugue -Winter/Fall 1998 (No. 17),"Koch, Brenda; McVie, Meagan; Smith, Diana; Levy, Lex; David, Eric; McCoy, Eric; Frank, Jason; McFarland, Jennifer L.; Mayo, James; Craine, Kit; Witt, Ryan; Blood, Kami; McFarland, Ron","Fugue Staff; Fugue Staff; Winters, Mary; Hayes, M. Hunter; Karoses, Clark; Haver, Denise; Kohler, Sandra; MacGowan, Mary; Jenks, Allison Eir; Dianna Henning; Shipley, Vivian; Jansen, Reamy; Withiam, Scott; Pennant, Edmund; Appel, Jacob M.; Emmons, Jeanne; Postma, Kathlene; Dungy, Camille; Luders, Lesa; Brewer, Gaylord; Kerr-Jung, Brian; Arroy, Rane",17,1998-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1998_N17,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1500,1500,pdf,fugue-1998-n17.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1998-n17.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1998-n17_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1998-n17_th.jpg
fugue-1999-n19,Fugue -Winter 1999 (No. 19),"Deming, Mark; Eborn, Angie; Hunsaker, Morgan; Jones, Darlene; Kaminsky, Stephen; Leitz, Eric; Meyers, Ryan; Whal, Eric; Flowers, Cori; French, Jean; Rigsby, Christin; Whitehead, Betsey; Bissegger, Tabetha; Witt, Ryan; McCuddin, Mel; McFarland, Ron","Fugue Staff; Witt, Ryan; Dickinson, Stephanie; Dacey, Philip; Mayo, James; Witt, Ryan; Ambrogio, Olivia V.; Gorman, Peter D.; David Miller, Bradley; McDonald, Melanie; Harrington, Anna; Mahaffey, Alana Merritt",19,1999-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue1999_N19,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1588,1588,pdf,fugue-1999-n19.pdf,https://objects.lib.uidaho.edu/fugue/fugue-1999-n19.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-1999-n19_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-1999-n19_th.jpg
fugue-2002-n24,Fugue Winter 2002 (No. 24),"McEachern, Scott; Cockeram, Paul; Birrer/Schnackenberg, Jessamyn; Noland, Taya; Foland, Jed; Jones, Jeff; Phentiss, Sean; Rolland, Pat; Mankin, Monica; Dudley, Cheryl; Neal, Matthew; Fry, Bryan; Steele, Summer; Hunseker, Morgan; Hartt, Jordan; George, Ben; Kaminsky, Christin; Wichlacz, Sarah; McFaraland, Ron","Fugue Staff; McEachern, Scott; Fogel, Alice; Tsai, Michael S.K.N; Long, Priscilla; Roullard, Lisa; Dunn, Steve; Bauer, Curtis; Temple, Pat; Lewis, Susan; Ames, Greg; Tsvi, Rosebud",24,2002-11-01,poetry,"Fugue Literary Journal, University of Idaho Department of English, ISSN 1054-6014, https://fuguejournal.com/",Fugue2002_N24,Text,application/pdf,"In Copyright - Educational Use Permitted. For more information, please contact Fugue Literary Journal, https://fuguejournal.com/",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Scanned at 400 dpi; access copy is PDF,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fugue/id/1701,1701,pdf,fugue-2002-n24.pdf,https://objects.lib.uidaho.edu/fugue/fugue-2002-n24.pdf,https://objects.lib.uidaho.edu/fugue/small/fugue-2002-n24_sm.jpg,https://objects.lib.uidaho.edu/fugue/thumbs/fugue-2002-n24_th.jpg
